Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity
Im002;0;0-14-0;0;0;0.00000;2.71490;0.38174;3.91029;0.91214;0-14-0;32;32;0-14;false;false;NA;1-14-1;7.91450e+03
Im002;0;0-31-0;0;0;0.00000;2.75524;0.12603;2.80683;0.57710;0-31-0;2;2;0-31;false;false;NA;1-31-0;6.85644e+03
Im002;0;0-44-0;0;0;0.00000;2.40350;0.19653;3.48916;0.79950;0-44-0;1;1;0-44;false;false;NA;NA;7.06044e+03
Im002;0;0-62-0;0;0;0.00000;2.65171;0.64402;4.18725;1.14952;0-62-0;1;1;0-62;false;false;NA;NA;8.77611e+03
Im002;0;0-62-1;0;1;0.00000;3.67229;-0.27050;4.18725;0.85846;0-62-1;2;2;0-62;false;false;NA;1-62-0;7.52322e+03
Im002;0;0-145-0;0;0;0.00000;0.53579;0.44449;6.36652;1.17090;0-145-0;1;1;0-145;false;false;NA;NA;9.13467e+03
Im002;0;0-154-0;0;0;0.00000;2.08648;-0.34563;2.62307;0.78312;0-154-0;9;9;0-154;false;false;NA;1-154-0;6.67967e+03
Im002;0;0-189-0;0;0;0.00000;2.56374;0.30373;4.92225;1.09364;0-189-0;12;12;0-189;false;false;NA;1-189-0;1.39389e+04
Im002;0;0-189-1;0;1;0.00000;0.99662;-7.33178e-02;4.92225;1.63473;0-189-1;3;3;0-189;false;false;NA;1-189-1;1.32151e+04
Im002;0;0-219-0;0;0;0.00000;0.20655;-0.47071;2.48049;0.81829;0-219-0;1;1;0-219;false;false;NA;NA;5.51146e+04
Im002;0;1-11-0;1;0;2.00000;2.39090;-0.23533;2.47511;0.52021;1-11-0;4;4;0-11;false;false;NA;2-11-0;7.03114e+03
Im002;0;1-14-0;1;0;2.00000;1.32576;9.12363e-02;3.91029;0.80200;1-14-0;5;5;0-14;false;false;NA;2-14-0;7.29933e+03
Im002;0;1-14-1;1;1;2.00000;2.88959;0.37845;3.91029;0.90620;0-14-0;32;32;0-14;false;false;0-14-0;2-14-1;7.96800e+03
Im002;0;1-25-0;1;0;2.00000;1.81258;-0.14505;2.54256;0.80232;1-25-0;59;59;0-25;false;false;NA;2-25-0;7.59367e+03
Im002;0;1-31-0;1;0;2.00000;2.75834;0.13184;2.80683;0.57463;0-31-0;2;2;0-31;false;false;0-31-0;NA;6.72033e+03
Im002;0;1-43-0;1;0;2.00000;2.20744;0.43986;4.49402;0.97422;1-43-0;1;1;0-43;false;false;NA;NA;6.99814e+03
Im002;0;1-62-0;1;0;2.00000;3.72509;-0.25892;4.18725;0.84999;0-62-1;2;2;0-62;false;false;0-62-1;NA;7.23200e+03
Im002;0;1-104-0;1;0;2.00000;0.62065;-4.51263e-02;3.83422;0.78019;1-104-0;2;2;0-104;false;false;NA;2-104-0;7.11733e+03
Im002;0;1-107-0;1;0;2.00000;0.90784;0.47072;3.84212;0.82447;1-107-0;4;4;0-107;false;false;NA;2-107-0;7.05025e+03
Im002;0;1-154-0;1;0;2.00000;1.97082;-0.45163;2.62307;0.80667;0-154-0;9;9;0-154;false;false;0-154-0;2-154-0;6.45789e+03
Im002;0;1-189-0;1;0;2.00000;2.54940;0.30953;4.92225;1.10528;0-189-0;12;12;0-189;false;false;0-189-0;2-189-0;1.17240e+04
Im002;0;1-189-1;1;1;2.00000;0.99173;-6.29529e-02;4.92225;1.63542;0-189-1;3;3;0-189;false;false;0-189-1;2-189-1;1.11989e+04
Im002;0;1-200-0;1;0;2.00000;1.33232;-0.25385;2.87341;1.57116;1-200-0;8;8;0-200;false;false;NA;2-200-0;5.58456e+03
Im002;0;2-11-0;2;0;4.00000;2.39007;-0.23881;2.47511;0.52245;1-11-0;4;4;0-11;false;false;1-11-0;3-11-0;6.71857e+03
Im002;0;2-14-0;2;0;4.00000;1.25911;6.34246e-02;3.91029;0.79909;1-14-0;5;5;0-14;false;false;1-14-0;3-14-0;8.03744e+03
Im002;0;2-14-1;2;1;4.00000;2.89367;0.37298;3.91029;0.90603;0-14-0;32;32;0-14;false;false;1-14-1;3-14-1;6.94533e+03
Im002;0;2-25-0;2;0;4.00000;1.80254;-0.13679;2.54256;0.80476;1-25-0;59;59;0-25;false;false;1-25-0;3-25-0;7.43967e+03
Im002;0;2-104-0;2;0;4.00000;0.56584;-2.74561e-02;3.83422;0.76984;1-104-0;2;2;0-104;false;false;1-104-0;NA;6.76322e+03
Im002;0;2-107-0;2;0;4.00000;0.90784;0.47072;3.84212;0.82447;1-107-0;4;4;0-107;false;false;1-107-0;3-107-0;7.00613e+03
Im002;0;2-154-0;2;0;4.00000;1.97082;-0.45163;2.62307;0.80667;0-154-0;9;9;0-154;false;false;1-154-0;3-154-0;6.55444e+03
Im002;0;2-160-0;2;0;4.00000;2.91695;-0.19625;3.90523;0.91444;2-160-0;2;2;0-160;false;false;NA;3-160-0;7.93789e+03
Im002;0;2-189-0;2;0;4.00000;2.54205;0.32425;4.92225;1.11124;0-189-0;12;12;0-189;false;false;1-189-0;3-189-0;1.01834e+04
Im002;0;2-189-1;2;1;4.00000;0.99951;-4.07988e-02;4.92225;1.63433;0-189-1;3;3;0-189;false;false;1-189-1;NA;9.52889e+03
Im002;0;2-199-0;2;0;4.00000;2.46423;-0.19709;7.20699;0.84575;2-199-0;3;3;0-199;false;false;NA;3-199-0;6.18289e+03
Im002;0;2-200-0;2;0;4.00000;1.29135;-0.26787;2.87341;1.56003;1-200-0;8;8;0-200;false;false;1-200-0;3-200-0;5.54644e+03
Im002;0;2-206-0;2;0;4.00000;0.72530;8.62822e-03;3.14695;0.94482;2-206-0;1;1;0-206;false;false;NA;NA;5.30111e+03
Im002;0;3-1-0;3;0;6.00000;0.91534;-0.36867;2.13222;0.80105;3-1-0;2;2;0-1;false;false;NA;4-1-0;6.23657e+03
Im002;0;3-11-0;3;0;6.00000;2.38546;-0.27001;2.47511;0.53476;1-11-0;4;4;0-11;false;false;2-11-0;4-11-0;6.68278e+03
Im002;0;3-14-0;3;0;6.00000;1.26443;-9.81503e-02;3.91029;0.79915;1-14-0;5;5;0-14;false;false;2-14-0;4-14-0;7.94189e+03
Im002;0;3-14-1;3;1;6.00000;2.90670;0.37193;3.91029;0.90547;0-14-0;32;32;0-14;false;false;2-14-1;4-14-1;7.08967e+03
