Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity
Im001;0;0-19-0;0;0;0.00000;3.95357;-0.43047;4.41942;1.07592;0-19-0;6;6;0-19;false;false;NA;1-19-0;4.76833e+03
Im001;0;0-20-0;0;0;0.00000;3.85978;0.32243;6.99855;1.11080;0-20-0;5;5;0-20;false;false;NA;1-20-0;6.02533e+03
Im001;0;0-24-0;0;0;0.00000;2.36959;0.46273;5.63291;1.06156;0-24-0;15;15;0-24;false;false;NA;1-24-0;8.02771e+03
Im001;0;0-28-0;0;0;0.00000;1.27011;0.51176;2.29049;1.14712;0-28-0;34;34;0-28;false;false;NA;1-28-0;8.19757e+03
Im001;0;0-29-0;0;0;0.00000;4.34489;0.16209;5.11713;2.02827;0-29-0;1;1;0-29;false;false;NA;NA;5.37322e+03
Im001;0;1-7-0;1;0;7.81600e+03;2.16408;0.63819;3.48173;1.37952;1-7-0;4;4;0-7;false;false;NA;2-7-0;4.68388e+03
Im001;0;1-19-0;1;0;7.81600e+03;3.94393;-0.43343;4.41942;1.08035;0-19-0;6;6;0-19;false;false;0-19-0;2-19-0;5.00422e+03
Im001;0;1-20-0;1;0;7.81600e+03;3.92432;0.32440;6.99855;1.14693;0-20-0;5;5;0-20;false;false;0-20-0;2-20-0;5.77267e+03
Im001;0;1-24-0;1;0;7.81600e+03;2.45926;0.40021;5.63291;1.04952;0-24-0;15;15;0-24;false;false;0-24-0;2-24-0;8.15325e+03
Im001;0;1-28-0;1;0;7.81600e+03;1.31042;0.48901;2.29049;1.14185;0-28-0;34;34;0-28;false;false;0-28-0;2-28-0;8.00829e+03
Im001;0;1-29-0;1;0;7.81600e+03;1.96430;-1.28092;5.11713;3.02965;1-29-0;1;1;0-29;false;false;NA;NA;4.93067e+03
Im001;0;1-31-0;1;0;7.81600e+03;1.41059;0.57684;4.54697;2.23610;1-31-0;1;1;0-31;false;false;NA;NA;5.12689e+03
Im001;0;1-32-0;1;0;7.81600e+03;3.91496;8.41726e-02;4.12755;0.48143;1-32-0;1;1;0-32;false;false;NA;NA;4.69167e+03
Im001;0;1-46-0;1;0;7.81600e+03;2.20297;0.39526;3.70924;2.02064;1-46-0;1;1;0-46;false;false;NA;NA;4.44400e+03
Im001;0;1-49-0;1;0;7.81600e+03;0.74133;-0.59427;2.57461;1.43905;1-49-0;4;4;0-49;false;false;NA;2-49-0;4.11767e+03
Im001;0;2-7-0;2;0;4.00000;2.21343;0.58139;3.48173;1.37653;1-7-0;4;4;0-7;false;false;1-7-0;3-7-0;5.22900e+03
Im001;0;2-19-0;2;0;4.00000;3.91436;-0.43266;4.41942;1.09408;0-19-0;6;6;0-19;false;false;1-19-0;3-19-0;5.24067e+03
Im001;0;2-20-0;2;0;4.00000;3.95001;0.31996;6.99855;1.16040;0-20-0;5;5;0-20;false;false;1-20-0;3-20-0;6.33133e+03
Im001;0;2-22-0;2;0;4.00000;4.42848;0.55761;7.43363;1.33982;2-22-0;5;5;0-22;false;false;NA;3-22-0;5.62033e+03
Im001;0;2-24-0;2;0;4.00000;2.48400;0.39077;5.63291;1.04762;0-24-0;15;15;0-24;false;false;1-24-0;3-24-0;8.78913e+03
Im001;0;2-24-1;2;1;4.00000;5.28392;0.51200;5.63291;1.91562;2-24-1;4;4;0-24;false;false;NA;3-24-2;8.86456e+03
Im001;0;2-28-0;2;0;4.00000;1.32448;0.49292;2.29049;1.14001;0-28-0;34;34;0-28;false;false;1-28-0;3-28-0;8.27357e+03
Im001;0;2-49-0;2;0;4.00000;0.80473;-0.63803;2.57461;1.46038;1-49-0;4;4;0-49;false;false;1-49-0;3-49-0;4.61178e+03
Im001;0;3-7-0;3;0;6.00000;2.23172;0.56607;3.48173;1.37523;1-7-0;4;4;0-7;false;false;2-7-0;4-7-0;5.29189e+03
Im001;0;3-19-0;3;0;6.00000;3.88786;-0.46808;4.41942;1.10703;0-19-0;6;6;0-19;false;false;2-19-0;4-19-0;5.00125e+03
Im001;0;3-20-0;3;0;6.00000;3.94403;0.30192;6.99855;1.15724;0-20-0;5;5;0-20;false;false;2-20-0;4-20-0;5.90433e+03
Im001;0;3-22-0;3;0;6.00000;4.50520;0.59291;7.43363;1.35049;2-22-0;5;5;0-22;false;false;2-22-0;4-22-0;5.72225e+03
Im001;0;3-24-0;3;0;6.00000;2.51308;0.38945;5.63291;1.04608;0-24-0;15;15;0-24;false;false;2-24-0;4-24-0;8.64950e+03
Im001;0;3-24-1;3;1;6.00000;3.80501;-0.18308;5.63291;1.17885;3-24-1;7;7;0-24;false;false;NA;4-24-1;8.77167e+03
Im001;0;3-24-2;3;2;6.00000;5.27313;0.50529;5.63291;1.92200;2-24-1;4;4;0-24;false;false;2-24-1;4-24-2;8.81867e+03
Im001;0;3-28-0;3;0;6.00000;1.35923;0.47952;2.29049;1.13531;0-28-0;34;34;0-28;false;false;2-28-0;4-28-0;7.30178e+03
Im001;0;3-46-0;3;0;6.00000;1.99510;-0.62387;3.70924;1.98704;3-46-0;1;1;0-46;false;false;NA;NA;4.38467e+03
Im001;0;3-49-0;3;0;6.00000;0.83732;-0.65401;2.57461;1.47372;1-49-0;4;4;0-49;false;false;2-49-0;4-49-0;4.75844e+03
Im001;0;4-3-0;4;0;8.00000;2.56646;0.10918;5.43132;2.06668;4-3-0;1;1;0-3;false;false;NA;NA;4.81211e+03
Im001;0;4-7-0;4;0;8.00000;2.16511;0.62417;3.48173;1.37947;1-7-0;4;4;0-7;false;false;3-7-0;NA;4.70458e+03
Im001;0;4-18-0;4;0;8.00000;3.41277;-0.12338;3.74776;1.08806;4-18-0;1;1;0-18;false;false;NA;NA;5.88389e+03
Im001;0;4-19-0;4;0;8.00000;3.92745;-0.43809;4.41942;1.08798;0-19-0;6;6;0-19;false;false;3-19-0;5-19-0;4.40478e+03
Im001;0;4-20-0;4;0;8.00000;3.92575;0.29154;6.99855;1.14767;0-20-0;5;5;0-20;false;false;3-20-0;NA;5.65733e+03
Im001;0;4-22-0;4;0;8.00000;4.49634;0.61377;7.43363;1.34924;2-22-0;5;5;0-22;false;false;3-22-0;5-22-0;5.07975e+03
