Position;PositionIdx;Indices;Frame;Idx;Time;DnaNIntensity;SNR;Area;RecBIntensity;DnaNSpotCount;SpineWidth;SpineLength;BacteriaLineage;NextDivisionFrame;PreviousDivisionFrame;RecBSpotCount
Im004;0;0-0;0;0;1.69039e+12;1.37313e+03;631.03188;2.89200;3.64936e+03;2;0.78961;3.23577;A;NA;NA;0
Im004;0;0-1;0;1;1.69039e+12;1.48078e+03;738.67585;2.21758;4.63826e+03;2;0.85771;2.30606;B;NA;NA;0
Im004;0;0-2;0;2;1.69039e+12;1.98055e+03;1.23845e+03;1.97753;4.37447e+03;1;0.81207;2.07196;C;NA;NA;0
Im004;0;0-3;0;3;1.69039e+12;2.33493e+03;1.59283e+03;3.41781;4.45896e+03;3;0.75076;3.89839;D;NA;NA;0
Im004;0;0-4;0;4;1.69039e+12;2.47265e+03;1.73055e+03;2.85770;4.60013e+03;2;0.78682;3.12692;E;NA;NA;0
Im004;0;0-5;0;5;1.69039e+12;2.39659e+03;1.65449e+03;1.82893;4.37581e+03;2;0.79982;1.96214;F;NA;NA;0
Im004;0;0-6;0;6;1.69039e+12;1.42064e+03;678.53934;3.22349;3.63974e+03;2;0.87033;3.34315;G;NA;NA;0
Im004;0;0-7;0;7;1.69039e+12;1.99006e+03;1.24795e+03;1.79464;4.02138e+03;2;0.73513;2.06622;I;NA;NA;0
Im004;0;0-8;0;8;1.69039e+12;2.15539e+03;1.41329e+03;2.06898;4.02052e+03;2;0.82281;2.18343;J;NA;NA;0
Im004;0;0-9;0;9;1.69039e+12;1.36000e+03;617.90136;2.96058;3.64205e+03;2;0.80280;3.23917;K;NA;NA;0
Im004;0;0-10;0;10;1.69039e+12;1.85003e+03;1.10793e+03;2.02325;4.37952e+03;1;0.70552;2.40888;L;NA;NA;0
Im004;0;0-11;0;11;1.69039e+12;1.94284e+03;1.20074e+03;3.45211;4.31245e+03;2;0.78136;3.79514;M;NA;NA;0
Im004;0;0-12;0;12;1.69039e+12;1.99709e+03;1.25499e+03;2.06898;4.52067e+03;2;0.75187;2.36627;N;NA;NA;0
Im004;0;0-13;0;13;1.69039e+12;2.08780e+03;1.34569e+03;2.74340;3.59987e+03;1;0.95843;2.60412;O;NA;NA;0
Im004;0;0-14;0;14;1.69039e+12;1.41664e+03;674.54013;3.64643;4.03835e+03;1;0.81699;3.86351;P;NA;NA;0
Im004;0;0-15;0;15;1.69039e+12;1.90339e+03;1.16128e+03;3.22349;4.78770e+03;4;0.76227;3.69816;Q;NA;NA;0
Im004;0;0-16;0;16;1.69039e+12;1.74478e+03;1.00268e+03;3.30351;4.39727e+03;2;0.73375;3.79911;R;NA;NA;0
Im004;0;0-17;0;17;1.69039e+12;1.99510e+03;1.25300e+03;3.50926;4.53922e+03;3;0.81646;3.79286;S;NA;NA;0
Im004;0;0-18;0;18;1.69039e+12;2.07013e+03;1.32802e+03;2.25187;3.89263e+03;1;0.77610;2.48679;U;NA;NA;0
Im004;0;0-19;0;19;1.69039e+12;1.82622e+03;1.08411e+03;1.64604;3.73140e+03;1;0.83668;1.66876;V;NA;NA;0
Im004;0;0-20;0;20;1.69039e+12;1.78985e+03;1.04775e+03;2.29759;4.01295e+03;2;0.81100;2.45134;W;NA;NA;1
Im004;0;0-21;0;21;1.69039e+12;1.79689e+03;1.05478e+03;2.68624;3.70531e+03;2;0.77410;3.05251;X;NA;NA;0
Im004;0;0-22;0;22;1.69039e+12;2.03694e+03;1.29484e+03;1.69176;3.84285e+03;2;0.72783;1.96928;Y;NA;NA;0
Im004;0;0-23;0;23;1.69039e+12;2.27757e+03;1.53547e+03;3.33780;4.07763e+03;2;0.91192;3.38262;Z;NA;NA;0
Im004;0;0-24;0;24;1.69039e+12;2.37673e+03;1.63463e+03;2.90343;4.90336e+03;2;0.71683;3.32811;A1;NA;NA;0
Im004;0;0-25;0;25;1.69039e+12;2.50920e+03;1.76710e+03;2.36618;3.89414e+03;3;0.70528;2.77548;B1;NA;NA;0
Im004;0;0-26;0;26;1.69039e+12;2.69159e+03;1.94949e+03;3.64643;4.23893e+03;2;0.81491;3.88201;C1;NA;NA;0
Im004;0;0-27;0;27;1.69039e+12;2.34915e+03;1.60705e+03;2.51478;4.02182e+03;2;0.87078;2.55171;D1;NA;NA;1
Im004;0;0-28;0;28;1.69039e+12;1.56104e+03;818.93779;3.12061;3.80418e+03;2;0.76137;3.59026;E1;NA;NA;0
Im004;0;0-29;0;29;1.69039e+12;1.54588e+03;803.77681;2.65195;3.51207e+03;1;0.89916;2.67187;F1;NA;NA;0
Im004;0;0-30;0;30;1.69039e+12;1.76122e+03;1.01912e+03;2.28616;3.52123e+03;2;0.83293;2.32410;G1;NA;NA;0
Im004;0;0-31;0;31;1.69039e+12;1.91457e+03;1.17247e+03;2.34332;3.79873e+03;2;0.83299;2.47004;I1;NA;NA;0
Im004;0;1-0;1;0;0.00000;1.31247e+03;582.05367;2.89200;3.55925e+03;0;0.78961;3.23577;A;NA;NA;0
Im004;0;1-1;1;1;0.00000;1.45908e+03;728.66064;2.21758;4.41410e+03;0;0.85771;2.30606;B;NA;NA;0
Im004;0;1-2;1;2;0.00000;1.91212e+03;1.18170e+03;1.97753;4.27224e+03;0;0.81207;2.07196;C;NA;NA;0
