Position;PositionIdx;Indices;Frame;Idx;Time;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;DistCC_oc1;Raw_intensity
Im004;0;0-0;0;0;0.00000;0-0;2;2;0;false;false;NA;1-0;0.67593;3.38641e-02;2.45134;0.80910;0.12774;4.71400e+03
Im004;0;0-1;0;1;0.00000;0-1;1;1;0;false;false;NA;NA;0.35585;-0.10230;2.55171;0.74334;3.78007e-02;4.94967e+03
Im004;0;1-0;1;0;9.54100e+03;0-0;2;2;0;false;false;0-0;NA;0.59956;-1.84027e-02;2.45134;0.80676;0.13831;5.02289e+03
Im004;0;2-0;2;0;9.52100e+03;2-0;4;4;0;false;false;NA;3-0;1.65908;-0.24695;3.79286;0.81683;0.67779;5.68733e+03
Im004;0;3-0;3;0;6.00000;2-0;4;4;0;false;false;2-0;4-1;1.56720;-0.29919;3.79286;0.82416;0.32528;5.55488e+03
Im004;0;4-0;4;0;8.00000;4-0;5;5;0;false;false;NA;5-0;1.94840;-3.93759e-02;2.60412;0.94480;0.74569;4.57300e+03
Im004;0;4-1;4;1;8.00000;2-0;4;4;0;false;false;3-0;5-1;1.40363;-0.31007;3.79286;0.83994;0.44408;5.64433e+03
Im004;0;5-0;5;0;10.00000;4-0;5;5;0;false;false;4-0;6-0;2.12348;-2.51868e-02;2.60412;0.89378;0.31866;4.74178e+03
Im004;0;5-1;5;1;10.00000;2-0;4;4;0;false;false;4-1;NA;1.43706;-0.28229;3.79286;0.83641;0.46160;5.54389e+03
Im004;0;5-2;5;2;10.00000;5-2;2;2;0;false;false;NA;6-2;0.42126;-0.11622;1.96928;0.71776;0.35347;4.95622e+03
Im004;0;5-3;5;3;10.00000;5-3;35;35;0;false;false;NA;6-3;0.82370;0.17041;2.77548;0.76112;0.13991;5.08600e+03
Im004;0;6-0;6;0;12.00000;4-0;5;5;0;false;false;5-0;7-0;2.12769;-8.12827e-03;2.60412;0.89252;0.97485;4.74300e+03
Im004;0;6-1;6;1;12.00000;6-1;2;2;0;false;false;NA;7-1;3.11669;-0.21145;3.86351;0.85613;0.28595;5.33144e+03
Im004;0;6-2;6;2;12.00000;5-2;2;2;0;false;false;5-2;NA;0.50534;-0.15408;1.96928;0.73393;0.46391;6.06500e+03
Im004;0;6-3;6;3;12.00000;5-3;35;35;0;false;false;5-3;7-3;0.81159;0.15929;2.77548;0.75844;0.18464;4.84744e+03
Im004;0;7-0;7;0;14.00000;4-0;5;5;0;false;false;6-0;8-0;2.00770;-3.95282e-02;2.60412;0.92807;0.33710;4.63822e+03
Im004;0;7-1;7;1;14.00000;6-1;2;2;0;false;false;6-1;NA;2.79749;-0.18016;3.86351;0.85110;0.32353;4.61056e+03
Im004;0;7-2;7;2;14.00000;7-2;4;4;0;false;false;NA;8-1;1.58015;-0.29512;3.79286;0.82313;0.29587;5.33700e+03
Im004;0;7-3;7;3;14.00000;5-3;35;35;0;false;false;6-3;8-2;0.79446;0.16180;2.77548;0.75466;0.17930;4.69822e+03
Im004;0;8-0;8;0;16.00000;4-0;5;5;0;false;false;7-0;NA;1.98599;-0.25456;2.60412;0.93420;0.28174;4.25556e+03
Im004;0;8-1;8;1;16.00000;7-2;4;4;0;false;false;7-2;9-1;1.59352;-0.27533;3.79286;0.82206;0.94579;5.29938e+03
Im004;0;8-2;8;2;16.00000;5-3;35;35;0;false;false;7-3;9-2;0.79404;0.16805;2.77548;0.75457;0.19251;4.46256e+03
Im004;0;9-0;9;0;18.00000;9-0;2;2;0;false;false;NA;10-0;2.96030;-0.22423;3.86351;0.85845;0.18113;4.91078e+03
Im004;0;9-1;9;1;18.00000;7-2;4;4;0;false;false;8-1;10-2;1.56511;-0.27713;3.79286;0.82433;0.21615;5.40125e+03
Im004;0;9-2;9;2;18.00000;5-3;35;35;0;false;false;8-2;10-3;0.78402;0.16295;2.77548;0.75236;0.21243;4.50278e+03
Im004;0;10-0;10;0;20.00000;9-0;2;2;0;false;false;9-0;NA;3.11418;-5.99484e-02;3.86351;0.85629;0.16704;5.27089e+03
Im004;0;10-1;10;1;20.00000;10-1;3;3;0;false;false;NA;11-0;2.50370;-0.38404;3.79911;0.79973;0.38131;5.33288e+03
Im004;0;10-2;10;2;20.00000;7-2;4;4;0;false;false;9-1;NA;1.46925;-0.29116;3.79286;0.83301;0.11126;4.99278e+03
Im004;0;10-3;10;3;20.00000;5-3;35;35;0;false;false;9-2;11-1;0.80031;0.16545;2.77548;0.75595;0.17954;4.45733e+03
Im004;0;11-0;11;0;22.00000;10-1;3;3;0;false;false;10-1;12-0;2.46342;-0.29117;3.79911;0.79852;0.41324;5.41722e+03
Im004;0;11-1;11;1;22.00000;5-3;35;35;0;false;false;10-3;12-4;0.79404;0.15886;2.77548;0.75457;0.20687;4.37822e+03
Im004;0;12-0;12;0;24.00000;10-1;3;3;0;false;false;11-0;NA;2.53370;-0.36490;3.79911;0.80065;0.40047;5.28413e+03
Im004;0;12-1;12;1;24.00000;12-1;10;10;0;false;false;NA;13-0;3.81475;-0.18503;3.79286;0.38958;0.00000;5.15738e+03
Im004;0;12-2;12;2;24.00000;12-2;5;5;0;false;false;NA;13-1;1.22393;0.12027;1.66876;0.81229;8.61487e-02;4.11656e+03
Im004;0;12-3;12;3;24.00000;12-3;1;1;0;false;false;NA;NA;0.66954;0.12906;2.45134;0.80879;0.13035;3.74133e+03
Im004;0;12-4;12;4;24.00000;5-3;35;35;0;false;false;11-1;13-2;0.79780;0.16482;2.77548;0.75540;0.19403;4.07956e+03
Im004;0;13-0;13;0;26.00000;12-1;10;10;0;false;false;12-1;14-2;3.81475;-0.18503;3.79286;0.38958;0.00000;5.33488e+03
Im004;0;13-1;13;1;26.00000;12-2;5;5;0;false;false;12-2;14-3;1.26192;0.10549;1.66876;0.79707;6.33142e-02;4.38400e+03
Im004;0;13-2;13;2;26.00000;5-3;35;35;0;false;false;12-4;14-4;0.78234;0.16490;2.77548;0.75199;0.20606;4.14844e+03
Im004;0;14-0;14;0;28.00000;14-0;2;2;0;false;false;NA;15-1;3.48438;0.32522;3.79514;0.68867;0.45303;4.50311e+03
Im004;0;14-1;14;1;28.00000;14-1;1;1;0;false;false;NA;NA;1.02738;-0.10152;3.86351;0.90487;1.80152;4.76200e+03
Im004;0;14-2;14;2;28.00000;12-1;10;10;0;false;false;13-0;15-3;3.81475;-0.18503;3.79286;0.38958;1.81273e-02;4.56050e+03
