Position;PositionIdx;Indices;Frame;Idx;Time;RecBIntensity;Area;SNR;SpotCount;SpineWidth;SpineLength;BacteriaLineage;NextDivisionFrame;PreviousDivisionFrame
Im001;0;0-0;0;0;1.69099e+12;2.70968e+03;2.30902;479.33564;0;0.87999;2.35322;A;NA;NA
Im001;0;0-1;0;1;1.69099e+12;2.71409e+03;4.01222;483.74364;1;0.86280;4.13544;B;NA;NA
Im001;0;0-2;0;2;1.69099e+12;2.91124e+03;2.40047;680.89057;1;0.82648;2.51244;C;NA;NA
Im001;0;0-3;0;3;1.69099e+12;2.83151e+03;2.22901;601.16530;0;0.88800;2.23757;D;NA;NA
Im001;0;0-4;0;4;1.69099e+12;3.12288e+03;2.43476;892.53041;0;0.90637;2.43851;E;NA;NA
Im001;0;0-5;0;5;1.69099e+12;3.38433e+03;4.13796;1.15398e+03;0;0.76952;4.74593;F;NA;NA
Im001;0;0-6;0;6;1.69099e+12;2.91076e+03;4.49231;680.41584;0;0.80659;4.83765;G;NA;NA
Im001;0;0-7;0;7;1.69099e+12;2.89737e+03;3.97792;667.02317;0;0.83972;4.15087;I;NA;NA
Im001;0;0-8;0;8;1.69099e+12;3.20556e+03;2.90343;975.21153;0;0.80686;3.15200;J;NA;NA
Im001;0;0-9;0;9;1.69099e+12;3.05352e+03;2.85770;823.17648;0;0.77980;3.17403;K;NA;NA
Im001;0;0-10;0;10;1.69099e+12;3.46933e+03;3.33780;1.23898e+03;0;0.77882;3.67369;L;NA;NA
Im001;0;0-11;0;11;1.69099e+12;2.76374e+03;2.38904;533.38932;0;0.76419;2.71759;M;NA;NA
Im001;0;0-12;0;12;1.69099e+12;3.08662e+03;2.58336;856.27637;0;0.73424;3.00279;N;NA;NA
Im001;0;0-13;0;13;1.69099e+12;2.98837e+03;3.06346;758.02561;0;0.79195;3.35598;O;NA;NA
Im001;0;0-14;0;14;1.69099e+12;2.90812e+03;2.67481;677.76786;0;0.89726;2.59646;P;NA;NA
Im001;0;0-15;0;15;1.69099e+12;2.85132e+03;3.72645;620.97149;0;0.79127;4.10897;Q;NA;NA
Im001;0;0-16;0;16;1.69099e+12;2.70126e+03;4.06937;470.91371;1;0.84453;4.23075;R;NA;NA
Im001;0;0-17;0;17;1.69099e+12;2.81700e+03;2.32046;586.65740;0;0.78143;2.52144;S;NA;NA
Im001;0;0-18;0;18;1.69099e+12;2.43522e+03;2.88057;204.87073;0;0.87602;2.94227;U;NA;NA
Im001;0;0-19;0;19;1.69099e+12;3.10154e+03;3.25778;871.18932;0;0.76255;3.67381;V;NA;NA
Im001;0;0-20;0;20;1.69099e+12;2.88132e+03;2.45763;650.96876;0;0.80069;2.73223;W;NA;NA
Im001;0;1-0;1;0;0.00000;2.66212e+03;2.30902;492.07702;0;0.87999;2.35322;A;NA;NA
Im001;0;1-1;1;1;0.00000;2.65956e+03;4.01222;489.51377;1;0.86280;4.13544;B;NA;NA
Im001;0;1-2;1;2;0.00000;2.69510e+03;2.40047;525.05821;0;0.82648;2.51244;C;NA;NA
Im001;0;1-3;1;3;0.00000;2.82704e+03;2.22901;656.99924;0;0.88800;2.23757;D;NA;NA
Im001;0;1-4;1;4;0.00000;3.06971e+03;2.43476;899.66713;0;0.90637;2.43851;E;NA;NA
Im001;0;1-5;1;5;0.00000;3.15594e+03;4.13796;985.90020;0;0.76952;4.74593;F;NA;NA
Im001;0;1-6;1;6;0.00000;2.82355e+03;4.49231;653.51037;0;0.80659;4.83765;G;NA;NA
Im001;0;1-7;1;7;0.00000;2.74663e+03;3.97792;576.59039;0;0.83972;4.15087;I;NA;NA
Im001;0;1-8;1;8;0.00000;3.14305e+03;2.90343;973.00545;0;0.80686;3.15200;J;NA;NA
Im001;0;1-9;1;9;0.00000;3.02892e+03;2.85770;858.87821;0;0.77980;3.17403;K;NA;NA
Im001;0;1-10;1;10;0.00000;3.30520e+03;3.33780;1.13516e+03;0;0.77882;3.67369;L;NA;NA
Im001;0;1-11;1;11;0.00000;2.69901e+03;2.38904;528.97256;0;0.76419;2.71759;M;NA;NA
Im001;0;1-12;1;12;0.00000;2.90186e+03;2.58336;731.82104;0;0.73424;3.00279;N;NA;NA
Im001;0;1-13;1;13;0.00000;2.88928e+03;3.06346;719.23433;0;0.79195;3.35598;O;NA;NA
Im001;0;1-14;1;14;0.00000;2.83402e+03;2.67481;663.97530;0;0.89726;2.59646;P;NA;NA
Im001;0;1-15;1;15;0.00000;2.79186e+03;3.72645;621.81404;0;0.79127;4.10897;Q;NA;NA
Im001;0;1-16;1;16;0.00000;2.55716e+03;4.06937;387.11551;0;0.84453;4.23075;R;NA;NA
Im001;0;1-17;1;17;0.00000;2.72344e+03;2.32046;553.40156;0;0.78143;2.52144;S;NA;NA
Im001;0;1-18;1;18;0.00000;2.36589e+03;2.88057;195.84710;0;0.87602;2.94227;U;NA;NA
Im001;0;1-19;1;19;0.00000;2.97103e+03;3.25778;800.98979;1;0.76255;3.67381;V;NA;NA
Im001;0;1-20;1;20;0.00000;2.82486e+03;2.45763;654.81868;0;0.80069;2.73223;W;NA;NA
Im001;0;2-0;2;0;4.00000;3.01059e+03;2.30902;540.38643;0;0.87999;2.35322;A;NA;NA
Im001;0;2-1;2;1;4.00000;3.04915e+03;4.01222;578.94336;0;0.86280;4.13544;B;NA;NA
Im001;0;2-2;2;2;4.00000;3.13653e+03;2.40047;666.32094;0;0.82648;2.51244;C;NA;NA
Im001;0;2-3;2;3;4.00000;3.04706e+03;2.22901;576.85391;0;0.88800;2.23757;D;NA;NA
Im001;0;2-4;2;4;4.00000;3.43700e+03;2.43476;966.79237;0;0.90637;2.43851;E;NA;NA
Im001;0;2-5;2;5;4.00000;3.53542e+03;4.13796;1.06522e+03;0;0.76952;4.74593;F;NA;NA
Im001;0;2-6;2;6;4.00000;3.14557e+03;4.49231;675.36489;1;0.80659;4.83765;G;NA;NA
Im001;0;2-7;2;7;4.00000;3.11876e+03;3.97792;648.55386;0;0.83972;4.15087;I;NA;NA
Im001;0;2-8;2;8;4.00000;3.55345e+03;2.90343;1.08324e+03;0;0.80686;3.15200;J;NA;NA
Im001;0;2-9;2;9;4.00000;3.44025e+03;2.85770;970.04437;0;0.77980;3.17403;K;NA;NA
Im001;0;2-10;2;10;4.00000;3.75634e+03;3.33780;1.28613e+03;0;0.77882;3.67369;L;NA;NA
Im001;0;2-11;2;11;4.00000;3.07345e+03;2.38904;603.24691;0;0.76419;2.71759;M;NA;NA
Im001;0;2-12;2;12;4.00000;3.27935e+03;2.58336;809.14192;0;0.73424;3.00279;N;NA;NA
Im001;0;2-13;2;13;4.00000;3.21619e+03;3.06346;745.98267;0;0.79195;3.35598;O;NA;NA
Im001;0;2-14;2;14;4.00000;3.21474e+03;2.67481;744.52741;0;0.89726;2.59646;P;NA;NA
Im001;0;2-15;2;15;4.00000;3.18297e+03;3.72645;712.75863;0;0.79127;4.10897;Q;NA;NA
Im001;0;2-16;2;16;4.00000;2.87075e+03;4.06937;400.54518;0;0.84453;4.23075;R;NA;NA
Im001;0;2-17;2;17;4.00000;3.08498e+03;2.32046;614.76774;0;0.78143;2.52144;S;NA;NA
Im001;0;2-18;2;18;4.00000;2.64264e+03;2.88057;172.43126;1;0.87602;2.94227;U;NA;NA
Im001;0;2-19;2;19;4.00000;3.30914e+03;3.25778;838.93272;0;0.76255;3.67381;V;NA;NA
Im001;0;2-20;2;20;4.00000;3.15406e+03;2.45763;683.84818;0;0.80069;2.73223;W;NA;NA
Im001;0;3-0;3;0;6.00000;2.98350e+03;2.30902;558.47768;0;0.87999;2.35322;A;NA;NA
Im001;0;3-1;3;1;6.00000;2.97256e+03;4.01222;547.53683;0;0.86280;4.13544;B;NA;NA
Im001;0;3-2;3;2;6.00000;2.94561e+03;2.40047;520.58226;0;0.82648;2.51244;C;NA;NA
Im001;0;3-3;3;3;6.00000;3.03026e+03;2.22901;605.22914;0;0.88800;2.23757;D;NA;NA
Im001;0;3-4;3;4;6.00000;3.32821e+03;2.43476;903.18400;0;0.90637;2.43851;E;NA;NA
Im001;0;3-5;3;5;6.00000;3.48172e+03;4.13796;1.05669e+03;0;0.76952;4.74593;F;NA;NA
Im001;0;3-6;3;6;6.00000;3.05200e+03;4.49231;626.97019;0;0.80659;4.83765;G;NA;NA
Im001;0;3-7;3;7;6.00000;3.08413e+03;3.97792;659.10204;0;0.83972;4.15087;I;NA;NA
Im001;0;3-8;3;8;6.00000;3.44683e+03;2.90343;1.02180e+03;0;0.80686;3.15200;J;NA;NA
Im001;0;3-9;3;9;6.00000;3.39084e+03;2.85770;965.81673;0;0.77980;3.17403;K;NA;NA
Im001;0;3-10;3;10;6.00000;3.68078e+03;3.33780;1.25575e+03;0;0.77882;3.67369;L;NA;NA
Im001;0;3-11;3;11;6.00000;2.93786e+03;2.38904;512.83398;0;0.76419;2.71759;M;NA;NA
Im001;0;3-12;3;12;6.00000;3.23830e+03;2.58336;813.26919;0;0.73424;3.00279;N;NA;NA
Im001;0;3-13;3;13;6.00000;3.14426e+03;3.06346;719.23766;0;0.79195;3.35598;O;NA;NA
Im001;0;3-14;3;14;6.00000;3.10831e+03;2.67481;683.28042;0;0.89726;2.59646;P;NA;NA
Im001;0;3-15;3;15;6.00000;3.13025e+03;3.72645;705.22733;0;0.79127;4.10897;Q;NA;NA
Im001;0;3-16;3;16;6.00000;2.81808e+03;4.06937;393.04857;0;0.84453;4.23075;R;NA;NA
Im001;0;3-17;3;17;6.00000;3.07722e+03;2.32046;652.18948;0;0.78143;2.52144;S;NA;NA
Im001;0;3-18;3;18;6.00000;2.63237e+03;2.88057;207.34178;0;0.87602;2.94227;U;NA;NA
Im001;0;3-19;3;19;6.00000;3.26407e+03;3.25778;839.03940;0;0.76255;3.67381;V;NA;NA
Im001;0;3-20;3;20;6.00000;3.04933e+03;2.45763;624.30296;0;0.80069;2.73223;W;NA;NA
Im001;0;4-0;4;0;8.00000;2.92049e+03;2.30902;514.16564;0;0.87999;2.35322;A;NA;NA
Im001;0;4-1;4;1;8.00000;2.90265e+03;4.01222;496.32796;0;0.86280;4.13544;B;NA;NA
Im001;0;4-2;4;2;8.00000;2.80931e+03;2.40047;402.98983;0;0.82648;2.51244;C;NA;NA
Im001;0;4-3;4;3;8.00000;3.04771e+03;2.22901;641.38323;0;0.88800;2.23757;D;NA;NA
Im001;0;4-4;4;4;8.00000;3.23860e+03;2.43476;832.27648;0;0.90637;2.43851;E;NA;NA
Im001;0;4-5;4;5;8.00000;3.41214e+03;4.13796;1.00581e+03;0;0.76952;4.74593;F;NA;NA
Im001;0;4-6;4;6;8.00000;2.97701e+03;4.49231;570.68063;0;0.80659;4.83765;G;NA;NA
Im001;0;4-7;4;7;8.00000;3.01016e+03;3.97792;603.83933;0;0.83972;4.15087;I;NA;NA
Im001;0;4-8;4;8;8.00000;3.35592e+03;2.90343;949.59680;0;0.80686;3.15200;J;NA;NA
Im001;0;4-9;4;9;8.00000;3.36848e+03;2.85770;962.15554;0;0.77980;3.17403;K;NA;NA
Im001;0;4-10;4;10;8.00000;3.57468e+03;3.33780;1.16836e+03;0;0.77882;3.67369;L;NA;NA
Im001;0;4-11;4;11;8.00000;2.85541e+03;2.38904;449.08702;0;0.76419;2.71759;M;NA;NA
Im001;0;4-12;4;12;8.00000;3.18722e+03;2.58336;780.89235;0;0.73424;3.00279;N;NA;NA
Im001;0;4-13;4;13;8.00000;3.17672e+03;3.06346;770.39942;0;0.79195;3.35598;O;NA;NA
Im001;0;4-14;4;14;8.00000;3.03892e+03;2.67481;632.59862;0;0.89726;2.59646;P;NA;NA
Im001;0;4-15;4;15;8.00000;3.04020e+03;3.72645;633.87493;0;0.79127;4.10897;Q;NA;NA
Im001;0;4-16;4;16;8.00000;2.75686e+03;4.06937;350.53228;0;0.84453;4.23075;R;NA;NA
Im001;0;4-17;4;17;8.00000;2.98391e+03;2.32046;577.58194;0;0.78143;2.52144;S;NA;NA
Im001;0;4-18;4;18;8.00000;2.57022e+03;2.88057;163.89776;0;0.87602;2.94227;U;NA;NA
Im001;0;4-19;4;19;8.00000;3.14868e+03;3.25778;742.35273;0;0.76255;3.67381;V;NA;NA
Im001;0;4-20;4;20;8.00000;2.96755e+03;2.45763;561.22903;0;0.80069;2.73223;W;NA;NA
Im001;0;5-0;5;0;10.00000;2.88208e+03;2.30902;442.60729;0;0.87999;2.35322;A;NA;NA
Im001;0;5-1;5;1;10.00000;2.93176e+03;4.01222;492.28666;0;0.86280;4.13544;B;NA;NA
Im001;0;5-2;5;2;10.00000;3.05822e+03;2.40047;618.74694;0;0.82648;2.51244;C;NA;NA
Im001;0;5-3;5;3;10.00000;2.80844e+03;2.22901;368.96416;0;0.88800;2.23757;D;NA;NA
Im001;0;5-4;5;4;10.00000;3.23320e+03;2.43476;793.72501;0;0.90637;2.43851;E;NA;NA
Im001;0;5-5;5;5;10.00000;3.41126e+03;4.13796;971.78004;0;0.76952;4.74593;F;NA;NA
Im001;0;5-6;5;6;10.00000;3.01266e+03;4.49231;573.18725;0;0.80659;4.83765;G;NA;NA
Im001;0;5-7;5;7;10.00000;3.03889e+03;3.97792;599.41681;0;0.83972;4.15087;I;NA;NA
Im001;0;5-8;5;8;10.00000;3.43814e+03;2.90343;998.66093;0;0.80686;3.15200;J;NA;NA
Im001;0;5-9;5;9;10.00000;3.42102e+03;2.85770;981.54713;0;0.77980;3.17403;K;NA;NA
Im001;0;5-10;5;10;10.00000;3.63007e+03;3.33780;1.19059e+03;0;0.77882;3.67369;L;NA;NA
Im001;0;5-11;5;11;10.00000;2.86628e+03;2.38904;426.80543;0;0.76419;2.71759;M;NA;NA
Im001;0;5-12;5;12;10.00000;3.17871e+03;2.58336;739.23552;0;0.73424;3.00279;N;NA;NA
Im001;0;5-13;5;13;10.00000;3.19784e+03;3.06346;758.36642;0;0.79195;3.35598;O;NA;NA
Im001;0;5-14;5;14;10.00000;3.02732e+03;2.67481;587.84792;0;0.89726;2.59646;P;NA;NA
Im001;0;5-15;5;15;10.00000;3.06848e+03;3.72645;629.00473;0;0.79127;4.10897;Q;NA;NA
Im001;0;5-16;5;16;10.00000;2.77649e+03;4.06937;337.01190;0;0.84453;4.23075;R;NA;NA
Im001;0;5-17;5;17;10.00000;2.98352e+03;2.32046;544.04037;0;0.78143;2.52144;S;NA;NA
Im001;0;5-18;5;18;10.00000;2.57187e+03;2.88057;132.39218;0;0.87602;2.94227;U;NA;NA
Im001;0;5-19;5;19;10.00000;3.15528e+03;3.25778;715.80033;0;0.76255;3.67381;V;NA;NA
Im001;0;5-20;5;20;10.00000;2.99804e+03;2.45763;558.56034;0;0.80069;2.73223;W;NA;NA
Im001;0;6-0;6;0;12.00000;2.74987e+03;2.30902;379.00670;0;0.87999;2.35322;A;NA;NA
