Position;PositionIdx;Indices;Frame;Idx;Time;DnaNIntensity;SNR;Area;RecBIntensity;DnaNSpotCount;SpineWidth;SpineLength;BacteriaLineage;NextDivisionFrame;PreviousDivisionFrame;RecBSpotCount
Im002;0;0-0;0;0;1.69332e+12;1.23641e+03;569.92406;2.97201;3.38305e+03;2;0.79649;3.24705;A;NA;NA;0
Im002;0;0-1;0;1;1.69332e+12;1.21923e+03;552.74329;2.52621;3.51527e+03;1;0.75382;2.89473;B;NA;NA;0
Im002;0;0-2;0;2;1.69332e+12;1.28563e+03;619.14014;2.73197;3.90600e+03;2;0.73378;3.25113;C;NA;NA;1
Im002;0;0-3;0;3;1.69332e+12;1.48474e+03;818.25390;2.65195;3.32480e+03;2;0.81678;2.83261;D;NA;NA;1
Im002;0;0-4;0;4;1.69332e+12;1.40966e+03;743.17716;1.87465;3.06729e+03;2;0.75623;2.08106;E;NA;NA;0
Im002;0;0-5;0;5;1.69332e+12;1.31701e+03;650.51904;3.50926;3.36463e+03;1;0.84723;3.72878;F;NA;NA;0
Im002;0;0-6;0;6;1.69332e+12;1.34868e+03;682.18944;2.22901;3.26227e+03;1;0.77327;2.50041;G;NA;NA;0
Im002;0;0-7;0;7;1.69332e+12;1.28841e+03;621.91808;2.05755;3.30807e+03;1;0.77579;2.27017;I;NA;NA;1
Im002;0;0-8;0;8;1.69332e+12;1.61413e+03;947.64244;2.90343;3.25522e+03;2;0.79946;3.23861;J;NA;NA;1
Im002;0;0-9;0;9;1.69332e+12;1.28708e+03;620.59415;1.68033;3.52399e+03;1;0.75708;1.86216;K;NA;NA;0
Im002;0;0-10;0;10;1.69332e+12;1.56175e+03;895.26506;3.37209;3.78034e+03;1;0.82869;3.64497;L;NA;NA;0
Im002;0;0-11;0;11;1.69332e+12;1.26420e+03;597.71707;1.50887;3.51648e+03;1;0.79201;1.57502;M;NA;NA;0
Im002;0;0-12;0;12;1.69332e+12;1.47988e+03;813.39388;2.69767;3.24156e+03;2;0.89536;2.73179;N;NA;NA;0
Im002;0;0-13;0;13;1.69332e+12;1.93814e+03;1.27165e+03;3.07489;4.05484e+03;2;0.82286;3.31512;O;NA;NA;0
Im002;0;0-14;0;14;1.69332e+12;1.36888e+03;702.39043;1.96610;3.71404e+03;1;0.78793;2.15644;P;NA;NA;0
Im002;0;0-15;0;15;1.69332e+12;1.28731e+03;620.82056;2.56050;3.33820e+03;2;0.87025;2.65319;Q;NA;NA;0
Im002;0;0-16;0;16;1.69332e+12;1.70931e+03;1.04282e+03;2.09184;3.77631e+03;2;0.82618;2.18524;R;NA;NA;0
Im002;0;0-17;0;17;1.69332e+12;1.36675e+03;700.26252;2.51478;3.15775e+03;3;0.83874;2.61969;S;NA;NA;0
Im002;0;0-18;0;18;1.69332e+12;2.49438e+03;1.82789e+03;2.81198;1.79184e+04;1;0.81627;3.05240;U;NA;NA;0
Im002;0;0-19;0;19;1.69332e+12;1.22694e+03;560.45117;1.86322;2.85937e+03;1;0.76009;2.03895;V;NA;NA;1
Im002;0;0-20;0;20;1.69332e+12;1.23704e+03;570.55739;1.78321;2.83445e+03;2;0.76146;2.01850;W;NA;NA;0
Im002;0;1-0;1;0;0.00000;1.20817e+03;548.35370;2.97201;3.42450e+03;0;0.79649;3.24705;A;NA;NA;0
Im002;0;1-1;1;1;0.00000;1.22722e+03;567.40166;2.52621;3.64296e+03;0;0.75382;2.89473;B;NA;NA;0
Im002;0;1-2;1;2;0.00000;1.26436e+03;604.54430;2.73197;3.91272e+03;0;0.73378;3.25113;C;NA;NA;0
Im002;0;1-3;1;3;0.00000;1.39777e+03;737.95171;2.65195;3.11891e+03;0;0.81678;2.83261;D;NA;NA;1
Im002;0;1-4;1;4;0.00000;1.32018e+03;660.36739;1.87465;3.07527e+03;0;0.75623;2.08106;E;NA;NA;0
Im002;0;1-5;1;5;0.00000;1.27671e+03;616.89782;3.50926;3.39761e+03;0;0.84723;3.72878;F;NA;NA;0
Im002;0;1-6;1;6;0.00000;1.26284e+03;603.02036;2.22901;3.48392e+03;0;0.77327;2.50041;G;NA;NA;0
Im002;0;1-7;1;7;0.00000;1.36377e+03;703.95113;2.05755;3.41027e+03;0;0.77579;2.27017;I;NA;NA;1
Im002;0;1-8;1;8;0.00000;1.54930e+03;889.48762;2.90343;3.31335e+03;0;0.79946;3.23861;J;NA;NA;0
Im002;0;1-9;1;9;0.00000;1.28746e+03;627.64705;1.68033;3.62619e+03;0;0.75708;1.86216;K;NA;NA;0
Im002;0;1-10;1;10;0.00000;1.55328e+03;893.46582;3.37209;3.83241e+03;1;0.82869;3.64497;L;NA;NA;0
Im002;0;1-11;1;11;0.00000;1.15729e+03;497.47235;1.50887;3.44044e+03;0;0.79201;1.57502;M;NA;NA;0
Im002;0;1-12;1;12;0.00000;1.41703e+03;757.21837;2.69767;3.20111e+03;0;0.89536;2.73179;N;NA;NA;0
Im002;0;1-13;1;13;0.00000;1.86380e+03;1.20398e+03;3.07489;4.10322e+03;0;0.82286;3.31512;O;NA;NA;0
Im002;0;1-14;1;14;0.00000;1.34591e+03;686.09144;1.96610;3.78047e+03;0;0.78793;2.15644;P;NA;NA;0
Im002;0;1-15;1;15;0.00000;1.31870e+03;658.88536;2.56050;3.36437e+03;0;0.87025;2.65319;Q;NA;NA;0
Im002;0;1-16;1;16;0.00000;1.71650e+03;1.05668e+03;2.09184;3.84404e+03;0;0.82618;2.18524;R;NA;NA;0
Im002;0;1-17;1;17;0.00000;1.25937e+03;599.55265;2.51478;3.15764e+03;0;0.83874;2.61969;S;NA;NA;0
Im002;0;1-18;1;18;0.00000;2.33909e+03;1.67927e+03;2.81198;1.18471e+04;1;0.81627;3.05240;U;NA;NA;0
Im002;0;1-19;1;19;0.00000;1.18879e+03;528.96974;1.86322;2.87037e+03;0;0.76009;2.03895;V;NA;NA;1
Im002;0;1-20;1;20;0.00000;1.22247e+03;562.65883;1.78321;2.81567e+03;0;0.76146;2.01850;W;NA;NA;0
Im002;0;2-0;2;0;0.00000;1.19178e+03;534.40967;2.97201;4.01670e+03;0;0.79649;3.24705;A;NA;NA;0
Im002;0;2-1;2;1;0.00000;1.24734e+03;589.96827;2.52621;4.18558e+03;0;0.75382;2.89473;B;NA;NA;0
Im002;0;2-2;2;2;0.00000;1.26641e+03;609.03894;2.73197;4.50569e+03;0;0.73378;3.25113;C;NA;NA;0
Im002;0;2-3;2;3;0.00000;1.37970e+03;722.32718;2.65195;3.77442e+03;0;0.81678;2.83261;D;NA;NA;0
Im002;0;2-4;2;4;0.00000;1.35896e+03;701.59232;1.87465;3.73576e+03;0;0.75623;2.08106;E;NA;NA;0
Im002;0;2-5;2;5;0.00000;1.28311e+03;625.73965;3.50926;3.94654e+03;0;0.84723;3.72878;F;NA;NA;0
Im002;0;2-6;2;6;0.00000;1.24297e+03;585.59813;2.22901;3.70894e+03;0;0.77327;2.50041;G;NA;NA;0
Im002;0;2-7;2;7;0.00000;1.32136e+03;663.98446;2.05755;3.76861e+03;0;0.77579;2.27017;I;NA;NA;1
Im002;0;2-8;2;8;0.00000;1.54013e+03;882.75489;2.90343;3.85920e+03;0;0.79946;3.23861;J;NA;NA;0
Im002;0;2-9;2;9;0.00000;1.30746e+03;650.09149;1.68033;4.08248e+03;0;0.75708;1.86216;K;NA;NA;0
Im002;0;2-10;2;10;0.00000;1.52759e+03;870.22212;3.37209;4.36846e+03;0;0.82869;3.64497;L;NA;NA;0
Im002;0;2-11;2;11;0.00000;1.17854e+03;521.16678;1.50887;4.07241e+03;0;0.79201;1.57502;M;NA;NA;0
Im002;0;2-12;2;12;0.00000;1.43253e+03;775.16280;2.69767;3.66896e+03;0;0.89536;2.73179;N;NA;NA;0
Im002;0;2-13;2;13;0.00000;1.85200e+03;1.19463e+03;3.07489;4.65846e+03;0;0.82286;3.31512;O;NA;NA;0
