Position;PositionIdx;Indices;Frame;Idx;Time;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;DistCC_oc1;Raw_intensity
Im002;0;0-0;0;0;0.00000;0-0;1;1;0;false;false;NA;NA;0.38657;-0.35380;3.25113;0.68059;0.43691;4.23729e+03
Im002;0;0-1;0;1;0.00000;0-1;2;2;0;false;false;NA;1-0;0.65171;0.20748;2.83261;0.83730;0.13981;3.81857e+03
Im002;0;0-2;0;2;0.00000;0-2;6;6;0;false;false;NA;1-1;1.70345;9.99196e-02;2.27017;0.81718;0.47491;4.50767e+03
Im002;0;0-3;0;3;0.00000;0-3;1;1;0;false;false;NA;NA;4.34171e-03;-0.14923;3.23861;0.30159;0.46573;3.87078e+03
Im002;0;0-4;0;4;0.00000;0-4;12;12;0;false;false;NA;1-2;0.97180;0.29772;2.03895;0.84794;0.40696;4.03067e+03
Im002;0;1-0;1;0;1.06660e+04;0-1;2;2;0;false;false;0-1;NA;0.68025;1.68979e-02;2.83261;0.84453;0.10014;3.59411e+03
Im002;0;1-1;1;1;1.06660e+04;0-2;6;6;0;false;false;0-2;2-0;1.65841;1.26245e-02;2.27017;0.82125;0.91529;4.45344e+03
Im002;0;1-2;1;2;1.06660e+04;0-4;12;12;0;false;false;0-4;2-1;0.92667;0.24095;2.03895;0.84918;0.40474;3.69967e+03
Im002;0;2-0;2;0;1.07480e+04;0-2;6;6;0;false;false;1-1;3-0;1.61241;3.58230e-03;2.27017;0.82496;0.84151;5.32033e+03
Im002;0;2-1;2;1;1.07480e+04;0-4;12;12;0;false;false;1-2;3-1;0.88575;0.20556;2.03895;0.84947;0.35751;4.39200e+03
Im002;0;3-0;3;0;6.00000;0-2;6;6;0;false;false;2-0;4-0;1.59063;-4.33033e-02;2.27017;0.82610;0.85302;4.92256e+03
Im002;0;3-1;3;1;6.00000;0-4;12;12;0;false;false;2-1;4-1;0.84440;0.17829;2.03895;0.84977;0.28865;4.29467e+03
Im002;0;4-0;4;0;8.00000;0-2;6;6;0;false;false;3-0;5-0;1.55880;-6.82406e-02;2.27017;0.82768;0.74887;5.33789e+03
Im002;0;4-1;4;1;8.00000;0-4;12;12;0;false;false;3-1;5-1;0.83939;0.14406;2.03895;0.84981;0.13767;4.63633e+03
Im002;0;5-0;5;0;10.00000;0-2;6;6;0;false;false;4-0;NA;1.56066;-6.69294e-02;2.27017;0.82765;0.87907;4.89289e+03
Im002;0;5-1;5;1;10.00000;0-4;12;12;0;false;false;4-1;6-0;0.83187;0.12176;2.03895;0.84986;0.33640;4.45356e+03
Im002;0;6-0;6;0;12.00000;0-4;12;12;0;false;false;5-1;7-0;0.78885;7.22500e-02;2.03895;0.85017;0.12166;4.03800e+03
Im002;0;7-0;7;0;14.00000;0-4;12;12;0;false;false;6-0;8-0;0.74876;5.16871e-02;2.03895;0.85046;0.40000;4.04667e+03
Im002;0;8-0;8;0;16.00000;0-4;12;12;0;false;false;7-0;9-0;0.74834;4.54022e-02;2.03895;0.85046;0.33862;3.90356e+03
Im002;0;9-0;9;0;18.00000;0-4;12;12;0;false;false;8-0;10-0;0.74834;3.64498e-02;2.03895;0.85046;0.39049;4.07011e+03
Im002;0;10-0;10;0;20.00000;0-4;12;12;0;false;false;9-0;11-0;0.72063;-1.35679e-03;2.03895;0.85010;0.24518;3.64856e+03
Im002;0;11-0;11;0;22.00000;0-4;12;12;0;false;false;10-0;NA;0.70123;-3.45834e-02;2.03895;0.84971;0.25013;4.03267e+03
Im002;0;14-0;14;0;28.00000;14-0;2;2;0;false;false;NA;15-0;1.89581;-5.60663e-03;2.15644;0.66993;1.07169;4.08100e+03
Im002;0;15-0;15;0;30.00000;14-0;2;2;0;false;false;14-0;NA;1.86296;-9.32749e-02;2.15644;0.68897;0.72326;4.54500e+03
Im002;0;15-1;15;1;30.00000;15-1;1;1;0;false;false;NA;NA;2.04486;-0.21564;2.65319;0.86708;0.30563;3.50644e+03
