Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Filtered_intensity;Raw_intensity
Im001;0;0-15-0;0;0;0.00000;1.02919;-6.17915e-02;1.82492;0.79502;0-15-0;6;6;0-15;false;false;NA;1-15-0;6.11026e+03;3.88811e+03
Im001;0;0-19-0;0;0;0.00000;3.44418;-2.57998e-02;4.06564;0.91615;0-19-0;2;2;0-19;false;false;NA;1-19-0;4.83639e+03;3.54400e+03
Im001;0;0-27-0;0;0;0.00000;0.71709;0.23505;3.42698;0.81607;0-27-0;34;34;0-27;false;false;NA;1-27-0;5.82710e+03;3.55678e+03
Im001;0;1-5-0;1;0;7.00100e+03;1.63399;-0.34051;3.22569;0.81657;1-5-0;1;1;0-5;false;false;NA;NA;5.15393e+03;3.96850e+03
Im001;0;1-8-0;1;0;7.00100e+03;0.25166;0.10526;3.19185;0.66330;1-8-0;3;3;0-8;false;false;NA;2-8-0;5.59171e+03;3.94756e+03
Im001;0;1-15-0;1;0;7.00100e+03;1.02149;-0.10925;1.82492;0.79499;0-15-0;6;6;0-15;false;false;0-15-0;2-15-0;6.15988e+03;3.94011e+03
Im001;0;1-17-0;1;0;7.00100e+03;1.70394;-7.97206e-03;2.60571;0.84953;1-17-0;2;2;0-17;false;false;NA;2-17-0;4.81567e+03;3.71178e+03
Im001;0;1-19-0;1;0;7.00100e+03;3.36511;-8.53539e-02;4.06564;0.92818;0-19-0;2;2;0-19;false;false;0-19-0;NA;4.96345e+03;3.61211e+03
Im001;0;1-27-0;1;0;7.00100e+03;0.71550;0.21620;3.42698;0.81595;0-27-0;34;34;0-27;false;false;0-27-0;2-27-0;6.17774e+03;3.72189e+03
Im001;0;2-8-0;2;0;7.00300e+03;1.63594e-02;-0.16512;3.19185;0.40490;1-8-0;3;3;0-8;false;false;1-8-0;3-8-0;6.91006e+03;4.83256e+03
Im001;0;2-15-0;2;0;7.00300e+03;0.99400;-6.35152e-02;1.82492;0.79488;0-15-0;6;6;0-15;false;false;1-15-0;3-15-0;7.34798e+03;4.89589e+03
Im001;0;2-17-0;2;0;7.00300e+03;1.69302;3.28816e-02;2.60571;0.85073;1-17-0;2;2;0-17;false;false;1-17-0;NA;6.66285e+03;4.80389e+03
Im001;0;2-27-0;2;0;7.00300e+03;0.71776;0.22510;3.42698;0.81612;0-27-0;34;34;0-27;false;false;1-27-0;3-27-0;8.05584e+03;4.77767e+03
Im001;0;2-33-0;2;0;7.00300e+03;3.18894;0.29216;4.12222;0.82935;2-33-0;1;1;0-33;false;false;NA;NA;4.42071e+03;3.69967e+03
Im001;0;3-8-0;3;0;6.00000;-2.48853e-02;-0.16525;3.19185;0.30861;1-8-0;3;3;0-8;false;false;2-8-0;NA;6.25519e+03;4.57143e+03
Im001;0;3-15-0;3;0;6.00000;1.04469;-2.07850e-03;1.82492;0.79509;0-15-0;6;6;0-15;false;false;2-15-0;4-15-0;6.08785e+03;4.37511e+03
Im001;0;3-27-0;3;0;6.00000;0.78075;0.19925;3.42698;0.82006;0-27-0;34;34;0-27;false;false;2-27-0;4-27-0;8.37776e+03;4.84589e+03
Im001;0;4-15-0;4;0;8.00000;1.04260;-2.63654e-02;1.82492;0.79508;0-15-0;6;6;0-15;false;false;3-15-0;5-15-0;5.77223e+03;3.98678e+03
Im001;0;4-19-0;4;0;8.00000;3.41530;6.78434e-03;4.06564;0.92052;4-19-0;34;34;0-19;false;false;NA;5-19-0;4.74968e+03;3.76667e+03
Im001;0;4-27-0;4;0;8.00000;0.78588;0.16330;3.42698;0.82033;0-27-0;34;34;0-27;false;false;3-27-0;5-27-0;7.75112e+03;4.30978e+03
Im001;0;5-5-0;5;0;10.00000;3.00369;-0.11793;3.22569;0.58634;5-5-0;2;2;0-5;false;false;NA;6-5-0;5.21497e+03;4.17211e+03
Im001;0;5-15-0;5;0;10.00000;1.03201;-4.08339e-02;1.82492;0.79504;0-15-0;6;6;0-15;false;false;4-15-0;NA;6.88829e+03;4.42711e+03
Im001;0;5-19-0;5;0;10.00000;3.39981;-5.15173e-02;4.06564;0.92288;4-19-0;34;34;0-19;false;false;4-19-0;6-19-0;5.07673e+03;3.80433e+03
Im001;0;5-27-0;5;0;10.00000;0.79316;0.15801;3.42698;0.82071;0-27-0;34;34;0-27;false;false;4-27-0;6-27-0;7.96854e+03;4.48822e+03
Im001;0;6-5-0;6;0;12.00000;2.69040;0.21397;3.22569;0.72864;5-5-0;2;2;0-5;false;false;5-5-0;NA;5.58413e+03;4.34267e+03
Im001;0;6-19-0;6;0;12.00000;3.44052;-4.99899e-02;4.06564;0.91670;4-19-0;34;34;0-19;false;false;5-19-0;7-19-0;5.13707e+03;3.85378e+03
Im001;0;6-27-0;6;0;12.00000;0.79049;0.17106;3.42698;0.82057;0-27-0;34;34;0-27;false;false;5-27-0;7-27-0;7.92135e+03;4.30944e+03
Im001;0;7-19-0;7;0;14.00000;3.41843;-7.63438e-02;4.06564;0.92005;4-19-0;34;34;0-19;false;false;6-19-0;8-19-0;5.63769e+03;3.94256e+03
Im001;0;7-27-0;7;0;14.00000;0.76150;0.16553;3.42698;0.81905;0-27-0;34;34;0-27;false;false;6-27-0;8-27-0;8.63490e+03;4.63067e+03
Im001;0;8-5-0;8;0;16.00000;3.08819;6.04275e-02;3.22569;0.55936;8-5-0;1;1;0-5;false;false;NA;NA;5.51123e+03;4.19189e+03
Im001;0;8-19-0;8;0;16.00000;3.41036;-7.17280e-02;4.06564;0.92127;4-19-0;34;34;0-19;false;false;7-19-0;9-19-0;4.97168e+03;3.84522e+03
Im001;0;8-27-0;8;0;16.00000;0.74563;0.15265;3.42698;0.81822;0-27-0;34;34;0-27;false;false;7-27-0;9-27-0;9.61005e+03;4.93822e+03
Im001;0;9-8-0;9;0;18.00000;0.82166;7.51898e-02;3.19185;0.78466;9-8-0;1;1;0-8;false;false;NA;NA;7.10215e+03;4.97800e+03
Im001;0;9-19-0;9;0;18.00000;3.36531;-6.14911e-02;4.06564;0.92815;4-19-0;34;34;0-19;false;false;8-19-0;10-19-0;4.97083e+03;3.93000e+03
Im001;0;9-27-0;9;0;18.00000;0.75435;0.14317;3.42698;0.81868;0-27-0;34;34;0-27;false;false;8-27-0;10-27-0;9.23784e+03;4.89556e+03
Im001;0;10-19-0;10;0;20.00000;3.35057;7.03971e-03;4.06564;0.93041;4-19-0;34;34;0-19;false;false;9-19-0;11-19-0;4.62859e+03;3.76822e+03
Im001;0;10-27-0;10;0;20.00000;0.80790;0.10965;3.42698;0.82149;0-27-0;34;34;0-27;false;false;9-27-0;11-27-0;7.76390e+03;4.59700e+03
Im001;0;11-19-0;11;0;22.00000;3.31052;-4.01509e-03;4.06564;0.93390;4-19-0;34;34;0-19;false;false;10-19-0;12-19-0;4.38775e+03;3.56578e+03
Im001;0;11-27-0;11;0;22.00000;0.83620;0.12444;3.42698;0.82300;0-27-0;34;34;0-27;false;false;10-27-0;12-27-0;7.50344e+03;4.31478e+03
Im001;0;12-19-0;12;0;24.00000;3.24489;2.91858e-02;4.06564;0.93748;4-19-0;34;34;0-19;false;false;11-19-0;13-19-0;4.59891e+03;3.74389e+03
Im001;0;12-27-0;12;0;24.00000;0.84305;0.18945;3.42698;0.82337;0-27-0;34;34;0-27;false;false;11-27-0;13-27-0;8.24658e+03;4.53144e+03
Im001;0;13-19-0;13;0;26.00000;3.25784;1.07203e-02;4.06564;0.93702;4-19-0;34;34;0-19;false;false;12-19-0;14-19-0;4.61106e+03;3.88256e+03
Im001;0;13-27-0;13;0;26.00000;0.82391;0.21797;3.42698;0.82234;0-27-0;34;34;0-27;false;false;12-27-0;14-27-0;8.23545e+03;4.62344e+03
Im001;0;14-19-0;14;0;28.00000;3.22776;-1.01893e-02;4.06564;0.93810;4-19-0;34;34;0-19;false;false;13-19-0;15-19-0;4.83622e+03;3.95367e+03
Im001;0;14-27-0;14;0;28.00000;0.78939;0.24403;3.42698;0.82051;0-27-0;34;34;0-27;false;false;13-27-0;15-27-0;8.04829e+03;4.58333e+03
Im001;0;15-19-0;15;0;30.00000;3.23779;3.20761e-02;4.06564;0.93774;4-19-0;34;34;0-19;false;false;14-19-0;16-19-0;5.03135e+03;4.07878e+03
Im001;0;15-27-0;15;0;30.00000;0.78666;0.20376;3.42698;0.82037;0-27-0;34;34;0-27;false;false;14-27-0;16-27-0;8.76582e+03;4.83833e+03
Im001;0;15-33-0;15;0;30.00000;0.93934;-4.73598e-02;4.12222;0.82355;15-33-0;1;1;0-33;false;false;NA;NA;3.91520e+03;3.48856e+03
Im001;0;16-19-0;16;0;32.00000;3.32095;0.13431;4.06564;0.93313;4-19-0;34;34;0-19;false;false;15-19-0;17-19-0;5.54802e+03;4.30178e+03
Im001;0;16-27-0;16;0;32.00000;0.76505;0.17551;3.42698;0.81923;0-27-0;34;34;0-27;false;false;15-27-0;17-27-0;8.39342e+03;4.62656e+03
Im001;0;17-19-0;17;0;34.00000;3.29924;0.12696;4.06564;0.93472;4-19-0;34;34;0-19;false;false;16-19-0;18-19-0;4.88442e+03;3.86233e+03
Im001;0;17-27-0;17;0;34.00000;0.77497;0.15502;3.42698;0.81975;0-27-0;34;34;0-27;false;false;16-27-0;18-27-0;8.27720e+03;4.64522e+03
Im001;0;18-19-0;18;0;36.00000;3.24085;2.16251e-02;4.06564;0.93763;4-19-0;34;34;0-19;false;false;17-19-0;19-19-0;4.67101e+03;3.85307e+03
Im001;0;18-27-0;18;0;36.00000;0.78035;0.14307;3.42698;0.82004;0-27-0;34;34;0-27;false;false;17-27-0;19-27-0;7.62045e+03;4.27267e+03
Im001;0;19-19-0;19;0;38.00000;3.20703;0.12492;4.06564;0.93886;4-19-0;34;34;0-19;false;false;18-19-0;20-19-0;5.27584e+03;3.98556e+03
Im001;0;19-27-0;19;0;38.00000;0.79817;0.13926;3.42698;0.82098;0-27-0;34;34;0-27;false;false;18-27-0;20-27-0;8.78789e+03;4.71978e+03
Im001;0;20-19-0;20;0;40.00000;3.20074;0.16496;4.06564;0.93883;4-19-0;34;34;0-19;false;false;19-19-0;21-19-0;5.21047e+03;3.71344e+03
Im001;0;20-27-0;20;0;40.00000;0.80204;0.13591;3.42698;0.82118;0-27-0;34;34;0-27;false;false;19-27-0;21-27-0;7.54377e+03;4.36122e+03
Im001;0;21-19-0;21;0;42.00000;3.26007;0.11699;4.06564;0.93694;4-19-0;34;34;0-19;false;false;20-19-0;22-19-0;5.58677e+03;4.06144e+03
Im001;0;21-23-0;21;0;42.00000;2.75630;-0.16238;3.00653;0.66945;21-23-0;1;1;0-23;false;false;NA;NA;4.97146e+03;3.92789e+03
Im001;0;21-27-0;21;0;42.00000;0.82799;0.15767;3.42698;0.82256;0-27-0;34;34;0-27;false;false;20-27-0;22-27-0;9.19949e+03;4.70656e+03
Im001;0;22-19-0;22;0;44.00000;3.27134;0.10071;4.06564;0.93653;4-19-0;34;34;0-19;false;false;21-19-0;23-19-0;5.32074e+03;3.99500e+03
Im001;0;22-27-0;22;0;44.00000;0.84806;0.14624;3.42698;0.82363;0-27-0;34;34;0-27;false;false;21-27-0;23-27-0;8.66545e+03;4.64411e+03
Im001;0;23-15-0;23;0;46.00000;1.52818;-0.25317;1.82492;0.69919;23-15-0;13;13;0-15;false;false;NA;24-15-0;5.36651e+03;3.96556e+03
Im001;0;23-19-0;23;0;46.00000;3.29883;5.08253e-02;4.06564;0.93475;4-19-0;34;34;0-19;false;false;22-19-0;24-19-0;5.61435e+03;4.02378e+03
Im001;0;23-27-0;23;0;46.00000;0.88011;0.11477;3.42698;0.82536;0-27-0;34;34;0-27;false;false;22-27-0;24-27-0;9.40238e+03;4.80867e+03
Im001;0;24-15-0;24;0;48.00000;1.52839;-0.24433;1.82492;0.69909;23-15-0;13;13;0-15;false;false;23-15-0;25-15-0;5.80399e+03;4.12267e+03
Im001;0;24-19-0;24;0;48.00000;3.31635;5.37328e-02;4.06564;0.93347;4-19-0;34;34;0-19;false;false;23-19-0;25-19-0;5.43999e+03;4.06678e+03
Im001;0;24-27-0;24;0;48.00000;0.88840;0.10652;3.42698;0.82574;0-27-0;34;34;0-27;false;false;23-27-0;25-27-0;8.42026e+03;4.41044e+03
Im001;0;25-15-0;25;0;50.00000;1.61580;-0.25518;1.82492;0.65404;23-15-0;13;13;0-15;false;false;24-15-0;26-15-0;5.82572e+03;3.86567e+03
Im001;0;25-19-0;25;0;50.00000;3.30509;6.17772e-02;4.06564;0.93429;4-19-0;34;34;0-19;false;false;24-19-0;26-19-0;5.22444e+03;3.81833e+03
Im001;0;25-19-1;25;1;50.00000;0.61302;0.25902;4.06564;0.83414;25-19-1;1;1;0-19;false;false;NA;NA;4.55303e+03;3.80922e+03
Im001;0;25-27-0;25;0;50.00000;0.90156;8.66425e-02;3.42698;0.82616;0-27-0;34;34;0-27;false;false;24-27-0;26-27-0;8.29503e+03;4.47433e+03
Im001;0;26-15-0;26;0;52.00000;1.59725;-0.25551;1.82492;0.66350;23-15-0;13;13;0-15;false;false;25-15-0;27-15-0;5.98389e+03;4.16467e+03
Im001;0;26-18-0;26;0;52.00000;2.18824;0.13990;2.27681;0.54543;26-18-0;1;1;0-18;false;false;NA;NA;4.76171e+03;3.74244e+03
Im001;0;26-19-0;26;0;52.00000;3.26257;0.10504;4.06564;0.93685;4-19-0;34;34;0-19;false;false;25-19-0;27-19-0;4.97039e+03;3.78711e+03
Im001;0;26-27-0;26;0;52.00000;0.90656;8.27171e-02;3.42698;0.82632;0-27-0;34;34;0-27;false;false;25-27-0;27-27-0;8.83291e+03;4.74922e+03
Im001;0;27-15-0;27;0;54.00000;1.59497;-0.26743;1.82492;0.66466;23-15-0;13;13;0-15;false;false;26-15-0;28-15-0;5.96545e+03;3.99778e+03
Im001;0;27-19-0;27;0;54.00000;3.24169;8.34184e-02;4.06564;0.93760;4-19-0;34;34;0-19;false;false;26-19-0;28-19-0;5.19524e+03;3.86267e+03
Im001;0;27-23-0;27;0;54.00000;1.51833e-02;8.64662e-02;3.00653;0.48728;27-23-0;1;1;0-23;false;false;NA;NA;6.54527e+03;4.41138e+03
Im001;0;27-26-0;27;0;54.00000;-8.71215e-02;-1.83090e-02;4.07729;0.21557;27-26-0;1;1;0-26;false;false;NA;NA;4.63773e+03;3.88525e+03
Im001;0;27-27-0;27;0;54.00000;0.90656;6.01901e-02;3.42698;0.82632;0-27-0;34;34;0-27;false;false;26-27-0;28-27-0;8.48915e+03;4.71144e+03
Im001;0;28-15-0;28;0;56.00000;1.55764;-0.17554;1.82492;0.68392;23-15-0;13;13;0-15;false;false;27-15-0;29-15-0;6.59097e+03;4.26522e+03
Im001;0;28-19-0;28;0;56.00000;3.20220;6.16960e-02;4.06564;0.93885;4-19-0;34;34;0-19;false;false;27-19-0;29-19-0;6.02702e+03;4.14389e+03
Im001;0;28-27-0;28;0;56.00000;0.91156;4.80154e-02;3.42698;0.82648;0-27-0;34;34;0-27;false;false;27-27-0;29-27-0;9.17779e+03;4.82489e+03
Im001;0;29-15-0;29;0;58.00000;1.38861;-0.14219;1.82492;0.75534;23-15-0;13;13;0-15;false;false;28-15-0;30-15-0;7.85412e+03;4.51856e+03
Im001;0;29-19-0;29;0;58.00000;3.16411;1.62801e-02;4.06564;0.93831;4-19-0;34;34;0-19;false;false;28-19-0;30-19-0;5.40292e+03;3.89633e+03
Im001;0;29-27-0;29;0;58.00000;0.91323;3.72888e-02;3.42698;0.82654;0-27-0;34;34;0-27;false;false;28-27-0;30-27-0;8.02037e+03;4.51189e+03
Im001;0;30-15-0;30;0;60.00000;1.36064;3.07245e-02;1.82492;0.76061;23-15-0;13;13;0-15;false;false;29-15-0;31-15-0;8.33109e+03;4.81578e+03
Im001;0;30-19-0;30;0;60.00000;3.15953;-3.09621e-02;4.06564;0.93824;4-19-0;34;34;0-19;false;false;29-19-0;31-19-0;5.03460e+03;3.90933e+03
Im001;0;30-27-0;30;0;60.00000;0.92659;3.93724e-02;3.42698;0.82697;0-27-0;34;34;0-27;false;false;29-27-0;31-27-0;9.19786e+03;4.72033e+03
Im001;0;31-15-0;31;0;62.00000;1.32593;0.10047;1.82492;0.76722;23-15-0;13;13;0-15;false;false;30-15-0;32-15-0;8.33433e+03;4.62622e+03
Im001;0;31-19-0;31;0;62.00000;3.19178;4.66515e-02;4.06564;0.93870;4-19-0;34;34;0-19;false;false;30-19-0;32-19-0;5.13600e+03;3.90489e+03
Im001;0;31-27-0;31;0;62.00000;0.91490;4.45246e-02;3.42698;0.82659;0-27-0;34;34;0-27;false;false;30-27-0;32-27-0;7.98830e+03;4.39978e+03
Im001;0;32-15-0;32;0;64.00000;1.33722;0.15384;1.82492;0.76506;23-15-0;13;13;0-15;false;false;31-15-0;33-15-0;8.91973e+03;4.93378e+03
Im001;0;32-19-0;32;0;64.00000;3.20153;7.92979e-02;4.06564;0.93884;4-19-0;34;34;0-19;false;false;31-19-0;33-19-0;5.39554e+03;4.00578e+03
Im001;0;32-23-0;32;0;64.00000;1.45627;-3.82498e-02;3.00653;0.83644;32-23-0;2;2;0-23;false;false;NA;33-23-0;6.56302e+03;4.38178e+03
Im001;0;32-27-0;32;0;64.00000;0.91991;4.62905e-02;3.42698;0.82675;0-27-0;34;34;0-27;false;false;31-27-0;33-27-0;8.54382e+03;4.61533e+03
Im001;0;33-15-0;33;0;66.00000;1.33709;0.17408;1.82492;0.76509;23-15-0;13;13;0-15;false;false;32-15-0;34-15-0;8.64642e+03;4.83689e+03
Im001;0;33-19-0;33;0;66.00000;3.26048;9.79679e-02;4.06564;0.93692;4-19-0;34;34;0-19;false;false;32-19-0;34-19-0;5.48967e+03;3.98478e+03
Im001;0;33-23-0;33;0;66.00000;1.44086;3.37934e-02;3.00653;0.83676;32-23-0;2;2;0-23;false;false;32-23-0;NA;3.86976e+03;3.40978e+03
