Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity
Im001;0;0-0-0;0;0;0.00000;1.46880;-2.74528e-02;2.34511;0.85540;0-0-0;17;17;0-0;false;false;NA;1-0-0;5.91011e+03
Im001;0;0-3-0;0;0;0.00000;1.43629;-0.33019;5.62233;0.75416;0-3-0;47;47;0-3;false;false;NA;1-3-0;1.35555e+04
Im001;0;0-6-0;0;0;0.00000;0.49629;0.33105;2.57798;0.84883;0-6-0;11;11;0-6;false;false;NA;1-6-0;5.39656e+03
Im001;0;0-13-0;0;0;0.00000;1.79122;0.28396;2.28926;0.77804;0-13-0;3;3;0-13;false;false;NA;1-13-0;5.15522e+03
Im001;0;0-17-0;0;0;0.00000;2.99268;0.13965;3.51904;0.85770;0-17-0;2;2;0-17;false;false;NA;1-17-0;4.88767e+03
Im001;0;0-20-0;0;0;0.00000;0.78836;-4.12624e-02;5.09504;0.94840;0-20-0;25;25;0-20;false;false;NA;1-20-0;7.30222e+03
Im001;0;0-27-0;0;0;0.00000;1.31270;0.24687;3.24725;0.79951;0-27-0;3;3;0-27;false;false;NA;1-27-0;6.11500e+03
Im001;0;0-30-0;0;0;0.00000;0.15361;-2.51441e-02;6.35236;0.58205;0-30-0;8;8;0-30;false;false;NA;1-30-0;1.30247e+04
Im001;0;0-36-0;0;0;0.00000;0.69780;0.21988;2.06425;0.87519;0-36-0;1;1;0-36;false;false;NA;NA;7.25522e+03
Im001;0;0-40-0;0;0;0.00000;2.75382;-0.32328;4.76550;0.83812;0-40-0;2;2;0-40;false;false;NA;1-40-0;3.98463e+03
Im001;0;1-0-0;1;0;8.31400e+03;1.06999;-2.73230e-02;2.34511;0.86512;0-0-0;17;17;0-0;false;false;0-0-0;2-0-0;5.55100e+03
Im001;0;1-3-0;1;0;8.31400e+03;1.39745;-0.31960;5.62233;0.75389;0-3-0;47;47;0-3;false;false;0-3-0;2-3-0;1.16873e+04
Im001;0;1-3-1;1;1;8.31400e+03;2.62567;-0.27879;5.62233;0.72778;1-3-1;10;10;0-3;false;false;NA;2-3-1;9.79613e+03
Im001;0;1-6-0;1;0;8.31400e+03;0.44983;0.26762;2.57798;0.82285;0-6-0;11;11;0-6;false;false;0-6-0;2-6-0;5.08078e+03
Im001;0;1-10-0;1;0;8.31400e+03;0.19224;0.11164;2.82164;0.67853;1-10-0;3;3;0-10;false;false;NA;2-10-0;5.67811e+03
Im001;0;1-13-0;1;0;8.31400e+03;1.82712;0.28003;2.28926;0.76715;0-13-0;3;3;0-13;false;false;0-13-0;2-13-0;4.73644e+03
Im001;0;1-16-0;1;0;8.31400e+03;3.23891;0.15538;4.07718;0.82464;1-16-0;1;1;0-16;false;false;NA;NA;7.77567e+03
Im001;0;1-17-0;1;0;8.31400e+03;2.98600;0.18590;3.51904;0.85950;0-17-0;2;2;0-17;false;false;0-17-0;NA;4.77211e+03
Im001;0;1-20-0;1;0;8.31400e+03;0.71421;-8.53077e-02;5.09504;0.93800;0-20-0;25;25;0-20;false;false;0-20-0;2-20-0;6.20622e+03
Im001;0;1-23-0;1;0;8.31400e+03;4.49601e-02;5.45227e-02;3.91004;0.48264;1-23-0;1;1;0-23;false;false;NA;NA;5.89100e+03
Im001;0;1-27-0;1;0;8.31400e+03;1.25622;0.26195;3.24725;0.79761;0-27-0;3;3;0-27;false;false;0-27-0;2-27-0;5.92667e+03
Im001;0;1-30-0;1;0;8.31400e+03;8.09729e-02;-3.65916e-03;6.35236;0.52125;0-30-0;8;8;0-30;false;false;0-30-0;2-30-0;1.19890e+04
Im001;0;1-37-0;1;0;8.31400e+03;0.84538;-0.16880;4.29408;0.90916;1-37-0;4;4;0-37;false;false;NA;2-37-0;4.92333e+03
Im001;0;1-40-0;1;0;8.31400e+03;2.59681;-4.89321e-02;4.76550;0.82028;0-40-0;2;2;0-40;false;false;0-40-0;NA;4.21544e+03
Im001;0;2-0-0;2;0;4.00000;0.91253;5.95855e-02;2.34511;0.85666;0-0-0;17;17;0-0;false;false;1-0-0;3-0-0;6.09311e+03
Im001;0;2-3-0;2;0;4.00000;1.38032;-0.29560;5.62233;0.75378;0-3-0;47;47;0-3;false;false;1-3-0;3-3-0;1.26763e+04
Im001;0;2-3-1;2;1;4.00000;2.61439;-0.26736;5.62233;0.72712;1-3-1;10;10;0-3;false;false;1-3-1;3-3-1;1.09208e+04
Im001;0;2-6-0;2;0;4.00000;0.43625;0.28396;2.57798;0.81526;0-6-0;11;11;0-6;false;false;1-6-0;3-6-0;5.71167e+03
Im001;0;2-10-0;2;0;4.00000;0.15561;9.27503e-02;2.82164;0.65023;1-10-0;3;3;0-10;false;false;1-10-0;3-10-0;6.95911e+03
Im001;0;2-13-0;2;0;4.00000;1.84047;0.28191;2.28926;0.76310;0-13-0;3;3;0-13;false;false;1-13-0;NA;4.90871e+03
Im001;0;2-16-0;2;0;4.00000;2.73721;0.31359;4.07718;0.81008;2-16-0;1;1;0-16;false;false;NA;NA;6.55744e+03
Im001;0;2-20-0;2;0;4.00000;0.63083;-0.11011;5.09504;0.91742;0-20-0;25;25;0-20;false;false;1-20-0;3-20-0;7.10578e+03
Im001;0;2-27-0;2;0;4.00000;1.23130;0.28005;3.24725;0.79761;0-27-0;3;3;0-27;false;false;1-27-0;NA;6.40311e+03
Im001;0;2-30-0;2;0;4.00000;6.55154e-02;6.02728e-03;6.35236;0.49735;0-30-0;8;8;0-30;false;false;1-30-0;3-30-0;1.32882e+04
Im001;0;2-37-0;2;0;4.00000;0.79391;-8.59807e-02;4.29408;0.91324;1-37-0;4;4;0-37;false;false;1-37-0;3-37-0;5.61578e+03
Im001;0;3-0-0;3;0;6.00000;0.88221;1.73506e-02;2.34511;0.85418;0-0-0;17;17;0-0;false;false;2-0-0;4-0-0;6.12133e+03
Im001;0;3-2-0;3;0;6.00000;0.59138;-0.10530;2.48645;0.88081;3-2-0;5;5;0-2;false;false;NA;4-2-0;5.94167e+03
Im001;0;3-3-0;3;0;6.00000;1.34273;-0.27614;5.62233;0.75351;0-3-0;47;47;0-3;false;false;2-3-0;4-3-0;1.10860e+04
Im001;0;3-3-1;3;1;6.00000;2.59768;-0.25452;5.62233;0.72614;1-3-1;10;10;0-3;false;false;2-3-1;4-3-1;9.86025e+03
Im001;0;3-4-0;3;0;6.00000;2.46482;-8.39839e-02;2.93023;0.80086;3-4-0;2;2;0-4;false;false;NA;4-4-0;5.75500e+03
Im001;0;3-5-0;3;0;6.00000;1.07948;-0.10444;2.44105;0.85272;3-5-0;4;4;0-5;false;false;NA;4-5-0;4.88156e+03
Im001;0;3-6-0;3;0;6.00000;0.40042;0.28958;2.57798;0.79128;0-6-0;11;11;0-6;false;false;2-6-0;4-6-0;5.32744e+03
Im001;0;3-10-0;3;0;6.00000;0.15417;0.16514;2.82164;0.64912;1-10-0;3;3;0-10;false;false;2-10-0;NA;6.81744e+03
Im001;0;3-17-0;3;0;6.00000;1.51276;0.13078;3.51904;0.89110;3-17-0;1;1;0-17;false;false;NA;NA;5.63778e+03
Im001;0;3-20-0;3;0;6.00000;0.63250;-8.70697e-02;5.09504;0.91807;0-20-0;25;25;0-20;false;false;2-20-0;4-20-0;6.62033e+03
