Position;PositionIdx;Indices;Frame;Idx;Time;RecBIntensity;Area;SNR;SpotCount;SpineWidth;SpineLength;BacteriaLineage;NextDivisionFrame;PreviousDivisionFrame
Im001;0;0-0;0;0;1.70930e+12;5.45396e+03;3.45211;1.08427e+03;1;0.88446;3.50254;A;NA;NA
Im001;0;0-1;0;1;1.70930e+12;5.24341e+03;3.21206;873.71437;0;0.91838;3.20686;B;NA;NA
Im001;0;0-2;0;2;1.70930e+12;5.81004e+03;2.88057;1.44034e+03;0;0.73073;3.40549;C;NA;NA
Im001;0;0-3;0;3;1.70930e+12;5.41727e+03;1.87465;1.04758e+03;0;0.92928;1.81315;D;NA;NA
Im001;0;0-4;0;4;1.70930e+12;5.74058e+03;3.05203;1.37089e+03;0;0.80342;3.36433;E;NA;NA
Im001;0;0-5;0;5;1.70930e+12;6.02250e+03;2.51478;1.65281e+03;0;0.86087;2.55619;F;NA;NA
Im001;0;0-6;0;6;1.70930e+12;6.34089e+03;2.34332;1.97119e+03;0;0.86760;2.34173;G;NA;NA
Im001;0;0-7;0;7;1.70930e+12;5.28757e+03;2.32046;917.87162;0;0.89839;2.27554;I;NA;NA
Im001;0;0-8;0;8;1.70930e+12;5.42608e+03;3.22349;1.05639e+03;0;0.74608;3.75065;J;NA;NA
Im001;0;0-9;0;9;1.70930e+12;5.85545e+03;2.42333;1.48576e+03;0;0.73193;2.75102;K;NA;NA
Im001;0;0-10;0;10;1.70930e+12;6.08900e+03;3.00630;1.71931e+03;0;0.90826;3.02443;L;NA;NA
Im001;0;0-11;0;11;1.70930e+12;6.41982e+03;2.27473;2.05013e+03;0;0.89535;2.25687;M;NA;NA
Im001;0;0-12;0;12;1.70930e+12;5.45558e+03;3.48640;1.08588e+03;0;0.88602;3.49081;N;NA;NA
Im001;0;0-13;0;13;1.70930e+12;5.70745e+03;3.79503;1.33776e+03;0;0.89348;3.82633;O;NA;NA
Im001;0;0-14;0;14;1.70930e+12;5.44274e+03;3.73788;1.07304e+03;0;0.88520;3.79232;P;NA;NA
Im001;0;0-15;0;15;1.70930e+12;5.86558e+03;2.72053;1.49588e+03;0;0.81058;2.98711;Q;NA;NA
Im001;0;0-16;0;16;1.70930e+12;5.64877e+03;1.90895;1.27908e+03;0;0.74232;2.17745;R;NA;NA
Im001;0;0-17;0;17;1.70930e+12;6.00460e+03;2.49192;1.63490e+03;0;0.82011;2.63784;S;NA;NA
Im001;0;0-18;0;18;1.70930e+12;5.74979e+03;3.17777;1.38010e+03;1;0.77686;3.59991;U;NA;NA
Im001;0;0-19;0;19;1.70930e+12;6.50453e+03;3.49783;2.13483e+03;0;0.82495;3.77550;V;NA;NA
Im001;0;0-20;0;20;1.70930e+12;6.06436e+03;3.14347;1.69467e+03;0;0.78265;3.51769;W;NA;NA
Im001;0;0-21;0;21;1.70930e+12;6.50264e+03;2.32046;2.13295e+03;0;0.75804;2.59461;X;NA;NA
Im001;0;0-22;0;22;1.70930e+12;5.49250e+03;2.65195;1.12281e+03;0;0.76210;3.01801;Y;NA;NA
Im001;0;0-23;0;23;1.70930e+12;5.52863e+03;3.49783;1.15893e+03;0;0.80240;3.85358;Z;NA;NA
Im001;0;0-24;0;24;1.70930e+12;5.32588e+03;2.25187;956.18836;0;0.92260;2.16258;A1;NA;NA
Im001;0;0-25;0;25;1.70930e+12;5.19260e+03;3.34923;822.90580;0;0.89521;3.33456;B1;NA;NA
Im001;0;0-26;0;26;1.70930e+12;6.14725e+03;3.24635;1.77756e+03;0;0.83073;3.40236;C1;NA;NA
Im001;0;0-27;0;27;1.70930e+12;5.73193e+03;3.81789;1.36224e+03;0;0.84513;3.98912;D1;NA;NA
Im001;0;0-28;0;28;1.70930e+12;6.99259e+03;3.85219;2.62290e+03;0;0.91531;3.80774;E1;NA;NA
Im001;0;0-29;0;29;1.70930e+12;4.78965e+03;2.32046;419.95536;0;0.91094;2.23124;F1;NA;NA
Im001;0;0-30;0;30;1.70930e+12;5.35555e+03;3.08632;985.85697;0;0.88337;3.07263;G1;NA;NA
Im001;0;0-31;0;31;1.70930e+12;4.95530e+03;2.26330;585.60815;0;0.85771;2.31323;I1;NA;NA
Im001;0;0-32;0;32;1.70930e+12;5.73615e+03;3.09775;1.36645e+03;0;0.86317;3.21567;J1;NA;NA
Im001;0;0-33;0;33;1.70930e+12;4.90162e+03;2.22901;531.92563;0;0.81113;2.38472;K1;NA;NA
