Position;PositionIdx;Indices;Frame;Idx;Time;raw_intensity;Area;SNR;SpineWidth;SpineLength
Im002;0;0-0;0;0;0.00000;454.96903;2.58336;202.71439;0.96824;2.32828
Im002;0;0-1;0;1;0.00000;382.44706;3.88648;130.19242;0.99028;3.40488
Im002;0;0-2;0;2;0.00000;422.65000;2.28616;170.39536;0.87513;2.27017
Im002;0;0-3;0;3;0.00000;276.00000;2.37761;23.74536;0.88015;2.38446
Im002;0;0-4;0;4;0.00000;393.81613;3.54355;141.56149;1.08231;3.06824
Im002;0;0-5;0;5;0.00000;495.95082;4.18368;243.69618;0.96633;3.84691
Im002;0;0-6;0;6;0.00000;282.53472;3.29208;30.28009;0.96145;3.15094
Im002;0;0-7;0;7;0.00000;261.03243;2.11470;8.77780;0.88071;2.10695
Im002;0;0-8;0;8;0.00000;414.53757;3.95506;162.28294;0.94933;3.65095
Im002;0;0-9;0;9;0.00000;375.62222;2.05755;123.36759;0.84400;2.09659
Im002;0;0-10;0;10;0.00000;416.71228;3.25778;164.45764;0.95265;3.09641
Im002;0;0-11;0;11;0.00000;398.42667;2.57193;146.17203;0.88902;2.54108
Im002;0;0-12;0;12;0.00000;422.12745;2.33189;169.87281;0.94413;2.15355
Im002;0;0-13;0;13;0.00000;346.84539;3.47497;94.59076;0.94551;3.28837
Im002;0;0-14;0;14;0.00000;510.33981;2.35475;258.08517;0.95451;2.21558
Im002;0;0-15;0;15;0.00000;463.09609;3.21206;210.84145;1.00529;2.87519
Im002;0;0-16;0;16;0.00000;289.99085;3.74931;37.73622;0.97821;3.43922
Im002;0;0-17;0;17;0.00000;356.80516;3.98935;104.55052;0.95205;3.73225
Im002;0;0-18;0;18;0.00000;297.66337;2.30902;45.40873;0.94997;2.18440
Im002;0;0-19;0;19;0.00000;390.24670;2.59480;137.99206;0.94512;2.30841
Im002;0;0-20;0;20;0.00000;458.23885;3.58928;205.98422;1.00691;3.16405
Im002;0;0-21;0;21;0.00000;354.39224;2.65195;102.13760;1.06455;2.14978
Im002;0;0-22;0;22;0.00000;327.21481;3.08632;74.96018;0.98132;2.88580
Im002;0;0-23;0;23;0.00000;488.59916;2.70910;236.34452;1.02719;2.31502
Im002;0;0-24;0;24;0.00000;607.64650;3.58928;355.39186;1.05219;3.07332
Im002;0;0-25;0;25;0.00000;302.68670;2.66338;50.43206;0.91492;2.56068
Im002;0;0-26;0;26;0.00000;349.06969;3.28064;96.81505;0.95870;2.98795
Im002;0;0-27;0;27;0.00000;333.39233;3.87505;81.13769;0.96502;3.61696
Im002;0;0-28;0;28;0.00000;334.54517;3.66929;82.29053;0.99579;3.47558
Im002;0;0-29;0;29;0.00000;401.74899;2.82341;149.49435;1.12336;2.28690
Im002;0;0-30;0;30;0.00000;311.70570;3.61214;59.45106;1.01007;3.21643
Im002;0;0-31;0;31;0.00000;355.61165;2.35475;103.35701;0.99350;2.11248
Im002;0;0-32;0;32;0.00000;320.86607;2.56050;68.61143;0.99087;2.32663
Im002;0;0-33;0;33;0.00000;333.88421;3.25778;81.62957;0.84979;3.35356
Im002;0;0-34;0;34;0.00000;320.20670;2.04612;67.95207;0.85888;2.07260
Im002;0;0-35;0;35;0.00000;316.24390;2.81198;63.98927;0.89976;2.69186
Im002;0;0-36;0;36;0.00000;420.28814;4.04651;168.03350;0.96690;3.67177
Im002;0;0-37;0;37;0.00000;328.26415;3.02917;76.00951;1.00737;2.72157
Im002;0;0-38;0;38;0.00000;350.94694;2.80055;98.69230;1.05103;2.47729
Im002;0;0-39;0;39;0.00000;346.56584;3.21206;94.31120;0.91280;3.06439
Im002;0;0-40;0;40;0.00000;403.90120;3.81789;151.64656;0.93403;3.69672
Im002;0;0-41;0;41;0.00000;1.32787e+03;2.82341;1.07562e+03;1.05870;2.45924
Im002;0;0-42;0;42;0.00000;408.60870;4.73236;156.35406;0.93741;4.48604
Im002;0;0-43;0;43;0.00000;314.14146;2.34332;61.88683;0.87721;2.30371
Im002;0;0-44;0;44;0.00000;407.79636;3.14347;155.54173;0.91237;3.00874
Im002;0;0-45;0;45;0.00000;431.76176;3.88648;179.50713;1.00774;3.46393
Im002;0;0-46;0;46;0.00000;371.31900;3.18920;119.06436;0.92371;3.08099
Im002;0;0-47;0;47;0.00000;312.12500;2.37761;59.87036;0.98619;2.14182
Im002;0;0-48;0;48;0.00000;485.62041;2.80055;233.36577;1.10608;2.28219
Im002;0;0-49;0;49;0.00000;348.63563;2.82341;96.38099;0.98837;2.49996
