Position;PositionIdx;Indices;Frame;Idx;Time;SpineCurvilinearCoord;SpineRadialCoord;SpineLength;SpineRadius;TrackHeadIndices;TrackLength;TrackObjectCount;ParentTrackHeadIndices;TrackErrorNext;TrackErrorPrev;Prev;Next;Raw_intensity;ParentNucleoidIndices;DistCC_oc3
Im001;0;0-2-0;0;0;0.00000;2.69612;-9.97243e-02;9.67179;0.98697;0-2-0;3;3;0-2;false;false;NA;1-2-0;7.24044e+03;0-2-0;2.46567
Im001;0;0-2-1;0;1;0.00000;6.58544;-0.13071;9.67179;0.90699;0-2-1;20;20;0-2;false;false;NA;1-2-1;7.85544e+03;0-2-0;1.51805
Im001;0;0-2-2;0;2;0.00000;9.19660;2.73954e-02;9.67179;0.79647;0-2-2;50;50;0-2;false;false;NA;1-2-2;1.06699e+04;NA;4.02761
Im001;0;0-6-0;0;0;0.00000;0.60129;-5.96570e-02;9.42563;0.77885;0-6-0;2;2;0-6;false;false;NA;1-6-0;8.27922e+03;NA;4.45143
Im001;0;0-20-0;0;0;0.00000;1.45269;4.54924e-03;2.45464;0.85216;0-20-0;3;3;0-20;false;false;NA;1-20-0;5.43667e+03;0-20-0;0.33209
Im001;0;0-21-0;0;0;0.00000;3.53709;-0.11200;4.09474;0.83352;0-21-0;7;7;0-21;false;false;NA;1-21-0;4.28422e+03;0-21-1;0.45441
Im001;0;0-22-0;0;0;0.00000;8.29517e-02;0.29112;3.20109;0.70023;0-22-0;17;17;0-22;false;false;NA;1-22-0;4.47863e+03;NA;0.43488
Im001;0;1-2-0;1;0;2.00000;2.73550;-0.15342;9.67179;0.98630;0-2-0;3;3;0-2;false;false;0-2-0;2-2-0;6.73478e+03;1-2-0;2.40106
Im001;0;1-2-1;1;1;2.00000;6.55892;-9.51809e-02;9.67179;0.90667;0-2-1;20;20;0-2;false;false;0-2-1;2-2-1;7.53333e+03;1-2-0;1.51805
Im001;0;1-2-2;1;2;2.00000;9.15836;4.56182e-02;9.67179;0.81022;0-2-2;50;50;0-2;false;false;0-2-2;2-2-2;1.06596e+04;NA;4.05965
Im001;0;1-6-0;1;0;2.00000;0.55617;-6.43163e-02;9.42563;0.76969;0-6-0;2;2;0-6;false;false;0-6-0;NA;7.62422e+03;NA;4.55047
Im001;0;1-6-1;1;1;2.00000;3.28278;-0.24787;9.42563;0.77534;1-6-1;12;12;0-6;false;false;NA;2-6-0;7.33611e+03;1-6-0;1.81643
Im001;0;1-20-0;1;0;2.00000;1.43038;5.92149e-02;2.45464;0.85240;0-20-0;3;3;0-20;false;false;0-20-0;2-20-0;5.58278e+03;1-20-0;0.28486
Im001;0;1-21-0;1;0;2.00000;3.55329;-0.19829;4.09474;0.82953;0-21-0;7;7;0-21;false;false;0-21-0;2-21-0;4.48200e+03;1-21-1;0.52093
Im001;0;1-22-0;1;0;2.00000;8.96122e-02;0.26789;3.20109;0.70699;0-22-0;17;17;0-22;false;false;0-22-0;2-22-0;4.75813e+03;NA;0.43488
Im001;0;2-2-0;2;0;4.00000;2.71303;-0.14626;9.67179;0.98666;0-2-0;3;3;0-2;false;false;1-2-0;NA;7.95756e+03;2-2-0;2.40106
Im001;0;2-2-1;2;1;4.00000;6.57040;-0.11751;9.67179;0.90681;0-2-1;20;20;0-2;false;false;1-2-1;3-2-0;8.90378e+03;2-2-0;1.51805
Im001;0;2-2-2;2;2;4.00000;9.12593;7.66072e-02;9.67179;0.81718;0-2-2;50;50;0-2;false;false;1-2-2;3-2-2;1.19458e+04;NA;4.05965
Im001;0;2-6-0;2;0;4.00000;3.27371;-0.25188;9.42563;0.77598;1-6-1;12;12;0-6;false;false;1-6-1;3-6-0;8.97333e+03;2-6-0;1.81643
Im001;0;2-6-1;2;1;4.00000;7.88044;5.47443e-02;9.42563;0.82601;2-6-1;1;1;0-6;false;false;NA;NA;8.96244e+03;2-6-0;2.78088
Im001;0;2-20-0;2;0;4.00000;1.57745;5.17244e-02;2.45464;0.85036;0-20-0;3;3;0-20;false;false;1-20-0;NA;5.88244e+03;2-20-0;0.42426
Im001;0;2-21-0;2;0;4.00000;3.53469;-0.28611;4.09474;0.83411;0-21-0;7;7;0-21;false;false;1-21-0;3-21-0;4.84656e+03;2-21-1;0.53796
Im001;0;2-22-0;2;0;4.00000;0.11110;0.27501;3.20109;0.72911;0-22-0;17;17;0-22;false;false;1-22-0;3-22-0;5.53313e+03;NA;0.43488
Im001;0;3-2-0;3;0;6.00000;6.52203;-0.11130;9.67179;0.90590;0-2-1;20;20;0-2;false;false;2-2-1;4-2-0;8.53500e+03;3-2-0;1.41210
Im001;0;3-2-1;3;1;6.00000;7.31583;0.33927;9.67179;0.86393;3-2-1;16;16;0-2;false;false;NA;4-2-1;7.71229e+03;3-2-0;2.20794
Im001;0;3-2-2;3;2;6.00000;9.10395;7.54755e-02;9.67179;0.82106;0-2-2;50;50;0-2;false;false;2-2-2;4-2-2;1.18402e+04;3-2-0;3.95820
Im001;0;3-6-0;3;0;6.00000;3.25110;-0.23564;9.42563;0.77758;1-6-1;12;12;0-6;false;false;2-6-0;4-6-0;8.60150e+03;3-6-0;1.89000
Im001;0;3-21-0;3;0;6.00000;3.50122;-0.30656;4.09474;0.84075;0-21-0;7;7;0-21;false;false;2-21-0;4-21-0;5.09278e+03;3-21-1;0.53796
Im001;0;3-22-0;3;0;6.00000;0.23821;0.28000;3.20109;0.83809;0-22-0;17;17;0-22;false;false;2-22-0;4-22-0;5.72067e+03;NA;0.36735
Im001;0;4-1-0;4;0;8.00000;2.08039;-0.26388;3.08059;0.68374;4-1-0;1;1;0-1;false;false;NA;NA;7.44900e+03;4-1-1;0.29843
Im001;0;4-2-0;4;0;8.00000;6.52493;-0.11060;9.67179;0.90597;0-2-1;20;20;0-2;false;false;3-2-0;5-2-0;8.48644e+03;4-2-0;1.41210
Im001;0;4-2-1;4;1;8.00000;7.33426;0.32073;9.67179;0.86271;3-2-1;16;16;0-2;false;false;3-2-1;5-2-1;7.23857e+03;4-2-0;2.20794
Im001;0;4-2-2;4;2;8.00000;9.12559;7.55990e-02;9.67179;0.81724;0-2-2;50;50;0-2;false;false;3-2-2;5-2-2;1.07771e+04;NA;4.05965
Im001;0;4-3-0;4;0;8.00000;1.49163;0.12864;3.13211;0.96772;4-3-0;1;1;0-3;false;false;NA;NA;5.77656e+03;4-3-0;5.09110e-02
Im001;0;4-6-0;4;0;8.00000;3.26008;-0.22451;9.42563;0.77694;1-6-1;12;12;0-6;false;false;3-6-0;5-6-0;9.06989e+03;4-6-0;1.81643
Im001;0;4-21-0;4;0;8.00000;3.45060;-0.33064;4.09474;0.85071;0-21-0;7;7;0-21;false;false;3-21-0;5-21-0;5.15175e+03;4-21-1;0.48470
Im001;0;4-22-0;4;0;8.00000;0.20809;0.27271;3.20109;0.81163;0-22-0;17;17;0-22;false;false;3-22-0;5-22-0;5.65200e+03;NA;0.34043
Im001;0;5-2-0;5;0;10.00000;6.56205;-0.11489;9.67179;0.90671;0-2-1;20;20;0-2;false;false;4-2-0;6-2-0;8.24667e+03;5-2-0;1.51805
Im001;0;5-2-1;5;1;10.00000;7.32024;0.32266;9.67179;0.86364;3-2-1;16;16;0-2;false;false;4-2-1;6-2-1;7.67100e+03;5-2-0;2.20794
Im001;0;5-2-2;5;2;10.00000;9.15585;7.93814e-02;9.67179;0.81112;0-2-2;50;50;0-2;false;false;4-2-2;6-2-2;1.03377e+04;NA;4.05965
Im001;0;5-6-0;5;0;10.00000;3.27560;-0.21482;9.42563;0.77584;1-6-1;12;12;0-6;false;false;4-6-0;6-6-1;8.59889e+03;5-6-0;1.81643
Im001;0;5-21-0;5;0;10.00000;3.42229;-0.25596;4.09474;0.85514;0-21-0;7;7;0-21;false;false;4-21-0;6-21-0;5.03478e+03;5-21-1;0.39345
Im001;0;5-22-0;5;0;10.00000;0.15212;0.29385;3.20109;0.76529;0-22-0;17;17;0-22;false;false;4-22-0;6-22-1;5.36338e+03;NA;0.43488
Im001;0;6-2-0;6;0;12.00000;6.56121;-0.10749;9.67179;0.90670;0-2-1;20;20;0-2;false;false;5-2-0;7-2-0;8.21800e+03;6-2-0;1.51805
Im001;0;6-2-1;6;1;12.00000;7.31374;0.33744;9.67179;0.86408;3-2-1;16;16;0-2;false;false;5-2-1;7-2-1;7.21671e+03;6-2-0;2.20794
Im001;0;6-2-2;6;2;12.00000;9.16545;8.02098e-02;9.67179;0.80767;0-2-2;50;50;0-2;false;false;5-2-2;7-2-2;1.04190e+04;NA;4.05965
Im001;0;6-6-0;6;0;12.00000;0.50864;-0.12272;9.42563;0.75492;6-6-0;2;2;0-6;false;false;NA;7-6-0;8.88878e+03;NA;4.59138
Im001;0;6-6-1;6;1;12.00000;3.25780;-0.23233;9.42563;0.77710;1-6-1;12;12;0-6;false;false;5-6-0;7-6-1;7.71989e+03;6-6-0;1.81643
Im001;0;6-21-0;6;0;12.00000;3.45627;-0.24454;4.09474;0.84959;0-21-0;7;7;0-21;false;false;5-21-0;NA;5.40800e+03;6-21-1;0.44906
Im001;0;6-22-0;6;0;12.00000;0.32852;-0.18657;3.20109;0.87368;6-22-0;1;1;0-22;false;false;NA;NA;4.93344e+03;6-22-0;0.11410
Im001;0;6-22-1;6;1;12.00000;0.18743;0.28977;3.20109;0.79379;0-22-0;17;17;0-22;false;false;5-22-0;7-22-0;5.22389e+03;NA;0.34043
Im001;0;7-2-0;7;0;14.00000;6.54852;-0.11503;9.67179;0.90649;0-2-1;20;20;0-2;false;false;6-2-0;8-2-0;8.46744e+03;7-2-0;1.51805
Im001;0;7-2-1;7;1;14.00000;7.32171;0.35907;9.67179;0.86354;3-2-1;16;16;0-2;false;false;6-2-1;8-2-1;7.10229e+03;7-2-0;2.20794
Im001;0;7-2-2;7;2;14.00000;9.16403;7.60493e-02;9.67179;0.80819;0-2-2;50;50;0-2;false;false;6-2-2;8-2-2;1.00811e+04;NA;4.05965
Im001;0;7-3-0;7;0;14.00000;1.34504;0.16085;3.13211;0.96687;7-3-0;7;7;0-3;false;false;NA;8-3-0;5.23156e+03;7-3-0;0.15689
Im001;0;7-6-0;7;0;14.00000;0.50302;-0.19862;9.42563;0.75260;6-6-0;2;2;0-6;false;false;6-6-0;NA;9.17500e+03;NA;4.63440
Im001;0;7-6-1;7;1;14.00000;3.26771;-0.23272;9.42563;0.77640;1-6-1;12;12;0-6;false;false;6-6-1;8-6-0;8.53456e+03;7-6-0;1.81643
Im001;0;7-11-0;7;0;14.00000;3.37901;-0.13048;4.27513;0.85115;7-11-0;8;8;0-11;false;false;NA;8-11-0;5.42189e+03;7-11-1;0.26300
Im001;0;7-20-0;7;0;14.00000;1.33865;-5.28551e-02;2.45464;0.85339;7-20-0;2;2;0-20;false;false;NA;8-20-0;5.61279e+03;7-20-0;0.17651
Im001;0;7-22-0;7;0;14.00000;0.25012;0.30038;3.20109;0.84264;0-22-0;17;17;0-22;false;false;6-22-1;8-22-0;5.29911e+03;NA;0.36735
Im001;0;8-2-0;8;0;16.00000;6.54530;-0.12447;9.67179;0.90641;0-2-1;20;20;0-2;false;false;7-2-0;9-2-0;8.49211e+03;8-2-0;1.51805
Im001;0;8-2-1;8;1;16.00000;7.32433;0.35620;9.67179;0.86337;3-2-1;16;16;0-2;false;false;7-2-1;9-2-1;6.69557e+03;8-2-0;2.20794
Im001;0;8-2-2;8;2;16.00000;9.16879;6.99499e-02;9.67179;0.80647;0-2-2;50;50;0-2;false;false;7-2-2;9-2-2;1.01453e+04;NA;4.05965
Im001;0;8-3-0;8;0;16.00000;1.32207;0.13878;3.13211;0.96674;7-3-0;7;7;0-3;false;false;7-3-0;9-3-0;5.36133e+03;8-3-0;0.26362
Im001;0;8-6-0;8;0;16.00000;3.27312;-0.23402;9.42563;0.77602;1-6-1;12;12;0-6;false;false;7-6-1;9-6-0;8.06956e+03;8-6-0;1.81643
Im001;0;8-11-0;8;0;16.00000;3.37312;-0.15274;4.27513;0.85123;7-11-0;8;8;0-11;false;false;7-11-0;9-11-1;5.61478e+03;8-11-1;0.26300
Im001;0;8-20-0;8;0;16.00000;1.26091;-0.12971;2.45464;0.85359;7-20-0;2;2;0-20;false;false;7-20-0;NA;5.84433e+03;8-20-0;0.19862
